League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=47,time=2023-01-20 01:06:31
0	40.33	2923506	4518668	C++	darkhorse64	
0	39.75	2906497	4472393	C++	daaskare	
0	35.72	2290633	4441522	Python3	field3	
0	35.07	1792532	4496320	C#	Zanbez	
0	34.62	1489865	4499825	Python3	EricSMSO	
0	34.53	1479930	4534103	C++	LeRenard	
0	34.17	2924895	4519942	C	trictrac	
0	34.03	2016815	4537326	Python3	kuburow	
0	33.84	4584723	4512203	C++	babaaurhum	
0	33.72	4924031	4507347	Python3	Robertinhop	
0	33.02	792813	4543515	Python3	VilBoub	
0	32.73	1440111	4484440	C++	nicZ	
0	32.65	3847976	4445422	Python3	[SG]Mob-Programming	
0	31.7	311035	4535623	Python3	leojean890	
0	31.37	5074786	4452109	Python3	Urfe	
0	29.92	894599	4487530	Python3	DidierC	
0	29.24	973040	4486038	Rust	papyjo	
0	28.2	4074654	4484943	C++	Flesh	
0	27.21	2984707	4525332	Python3	Darkduv	
0	26.72	4858562	4709790	Python3	GamesCoder	
0	25.93	1802967	4441780	Python3	Meruem	
0	25.7	3953185	4445776	Python3	FoxyLady	
0	25.17	3141948	4438581	Python3	philRG	
0	25.08	2744277	4450558	Python3	IC	
0	24.61	3647844	4440740	Python3	rc95401	
0	23.37	2532837	4447994	Ruby	fauresebast	
0	23.31	2110342	4506859	Javascript	lchenay	
0	21.96	154806	4446583	Python3	piwai	
0	21.82	5135302	4543918	Python3	Tony_Ssahr	
0	21.55	5067187	4485016	Python3	Jolinar	
0	21.31	2612889	4488437	C#	Symphonia	
0	21.29	4158692	4516137	Python3	All2u	
0	21.28	5135300	4543901	Python3	BloCubiks	
0	20.97	1412263	4438775	PHP	PatrickMcGinnisII	
0	20.96	4632659	4543993	Python3	CAL22	
0	20.66	5135598	4544005	Python3	Boeuf_Bourguignon	
0	20.21	3354337	4437560	C++	Westicles	
0	20.1	5135299	4543909	Python3	Antsurf	
0	19.7	4277867	4475935	D	About	
0	19.57	3136787	4437699	Python3	jacek	
0	6.83	4122711	4518982	C++	ExoticAxolotl	
0	6.42	5165994	4523569	C	rusherr01	
0	6.36	1713174	4449420	Python3	BigUP	
0	6.35	2812580	4551659	C++	masu1208	
0	6.32	4626700	4499714	PHP	JohnyDarecek	
0	6.28	1723104	4538107	C#	Typlan	
0	6.2	2824008	4707895	C#	OccitanieFreelancer	
