League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=793,time=2023-02-03 00:31:09
6	34.45	3193653	2433021	C++	karliso	
6	32.06	1400179	2431247	C++	reCurse	
6	28.01	3243532	2431241	Java	teccles	
6	27.64	3903473	3783898	Python3	Konstant	
6	26.53	1049935	2880818	C++	Azkellas	
6	25.7	1372349	2431246	Java	NinjaDoggy	
6	24.8	1500515	2431253	C#	eulerscheZahl	
6	23.89	1186250	4488822	C#	Gabbek	
6	23.85	580424	3020932	C++	siman	
6	23.23	3235897	2431255	Java	Zylo	
6	23.08	3341766	2465498	C#	AlesRamsa	
6	22.98	154984	2431238	C++	_Royale	
6	22.94	820000	2585661	C++	ValGrowth	
6	21.91	2311105	2431245	C++	kovi	
6	20.48	893541	3147413	Java	wala	
6	20.32	351062	2431249	C++	Neumann	
6	19.96	2522090	2431244	C#	MSmits	
6	19.65	3756199	3152645	C++	KnightMoves	
6	19.47	1947771	4569061	Python3	__Alex__	
6	19.12	805067	2599438	C++	Magus	
6	18.87	1537951	3857006	Java	Nerchio	
6	18.84	1114834	2432786	Python3	k4ng0u	
6	18.71	1818159	2431254	C++	JRFerguson	
6	18.02	837350	2431250	Python3	BorisZ	
6	17.39	1629259	2626074	C++	Marchete	
6	16.98	3918583	4008329	Rust	mikmak	
6	16.66	837436	4512738	C++	aropan	
6	16.56	463873	2595851	Python3	tanakat01	
6	16.05	2970414	2431239	Python3	Fangel	
6	15.89	1335230	2615580	C++	jft63	
6	15.85	3319855	2442301	C#	Drobor	
6	15.84	1333869	2431251	Python3	kiwijam	
6	15.64	1756952	2431237	C++	Petras	
6	15.53	1307473	2583805	C#	Evgenykz	
6	15.35	154312	2828437	C#	ThomasNicoullaud	
6	15.2	1480501	2433546	C++	DaFish	
6	15.08	2906497	2614239	C++	daaskare	
6	14.8	1167615	2595787	C#	TylerDurden	
6	14.76	3533119	3845133	Python3	wlesavo	
6	14.74	1399619	4463062	C++	yurp	
6	14.7	416762	2522263	Javascript	Khao	
6	14.56	1675487	2432917	C	PED	
6	14.45	3354668	2460223	Python3	DimSumSaying	
6	14.4	2510531	2609638	Python3	Jamproject	
6	13.98	5052454	4463066	C#	chris.steele	
6	13.91	754792	2433172	C++	Ramdeath	
6	13.84	2006324	2664147	C#	Oussama_Siharde	
6	13.52	5173780	4544413	C++	DuckTypo	
6	13.39	1341520	4511869	C	egaetan	
6	13.38	4882037	4488568	C#	CrystalRushLearning	
6	13.36	2386035	4464932	C#	Samsonov	
6	13.33	1479930	4464955	C++	LeRenard	
6	12.69	3270023	4544392	Javascript	burningdaylight	
6	12.19	1861852	2891994	Javascript	Cramer	
6	12.07	1932868	4512637	Python3	Tehelka	
6	12.05	3230794	4464928	C++	tutubalin	
6	11.97	1606614	4542277	C#	Wazaa	
6	11.06	1787026	3845078	Java	xurei	
6	5.99	4334077	4036091	C#	Paul_Demanze	
6	3.53	2288263	2634892	Rust	dbdr	
6	-3.6	403748	2679831	C#	[CG]SaiksyApo	
5	31.21	1194069	2425845	Java	Redstrike	
5	30.14	1314316	2439918	C++	jolindien	
5	29.76	1676711	2425797	Java	Eeeval	
5	29.47	3721214	4282332	C++	jrke	
5	29.43	232528	3128587	C++	cegprakash	
5	29.08	1607522	2425796	Go	RoboStac	
5	28.66	3235896	2425853	Java	Fenz	
5	28.55	886483	2425829	C	R4N4R4M4	
5	28.39	1483234	4515643	C#	jbl	
5	28.36	331880	3861354	Kotlin	Monstruo	
5	28.35	2924895	2704042	C	trictrac	
