League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=365,time=2023-01-27 00:30:04
0	40.3	2311105	4688315	C++	kovi	
0	39.94	2522090	4505285	C++	MSmits	
0	39.49	1607522	3402743	C++	RoboStac	
0	38.5	154984	4516600	C++	_Royale	
0	37.95	186179	2455798	C++	Nagrarok	
0	37.31	3457031	4695690	C++	YurkovAS	
0	36.97	3136787	4327790	C++	jacek	
0	36.81	2923506	3480564	C++	darkhorse64	
0	36.68	3193653	3003001	C++	karliso	
0	35.18	3046779	2729566	C++	Kathrin	
0	35.17	524638	2577827	C++	miklla	
0	34.84	2924895	4507459	C	trictrac	
0	34.74	2288263	2359830	Rust	dbdr	
0	33.55	893541	4689007	C++	wala	
0	33.04	3918583	4711763	Rust	mikmak	
0	33.03	2968035	3535058	C++	DomiKo	
0	32.94	1673335	2847448	C++	LoGos	
0	32.84	1109979	4714486	Rust	Gloopy	
0	32.29	1436776	3664374	C++	BrainSolver	
0	31.98	155774	3789758	C++	dwarfie	
0	31.8	3165536	4717267	C++	barbora	
0	31.65	1566335	2633654	Java	BeardedWhale	
0	31.01	1500515	3789187	C++	eulerscheZahl	
0	30.65	4039884	3366576	C++	mzbear	
0	30.52	1489865	2591765	C++	EricSMSO	
0	29.92	1314316	3518658	C++	jolindien	
0	29.74	1944142	3426835	C++	yakalir	
0	29.2	2007852	3157547	Go	Zorg1	
0	28.92	1673512	3053968	C++	Ryoken	
0	28.72	811622	2844478	C++	Scarfield	
0	28.58	2115491	3173004	Go	Haashi	
0	28.43	1479930	4001754	C++	LeRenard	
0	27.89	839879	3041047	C#	Washier	
0	27.64	1307473	3009474	C++	Evgenykz	
0	26.24	1661333	2358657	C++	linjoehan	
0	26.02	335954	4010548	Java	nmahoude	
0	25.95	1140677	4006557	C++	Crog	
0	25.1	3235897	3834928	Java	Zylo	
0	25.02	1389861	3004188	C++	Evgenykz3	
0	24.96	2590149	2473803	C++	GoofyGas	
0	24.9	1455753	3785471	C++	Lysk	
0	24.71	2480113	3892451	C++	d_OwO_b	
0	24.62	3319855	3950751	C#	Drobor	
0	24.57	331880	3861379	Kotlin	Monstruo	
0	24.5	3640270	2656638	Python3	s34vv1nd	
0	24.39	3569066	3928413	C++	derjack	
0	24.38	224325	2418160	C++	[BZH]TidyMaze	
0	24.36	311035	4004728	Python3	leojean890	
0	24.33	953094	2359648	Python3	Witman	
0	24.22	1341520	3415268	Java	egaetan	
0	24.08	889789	3391194	C	Alain-Delpuch	
0	24.03	1169499	2355418	C++	naab	
0	24.02	3354337	3090889	C++	Westicles	
0	24.01	2786666	2495805	C++	TetraktysPhi	
0	24	4072094	3862495	C++	howard0027	
