League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=219,time=2023-02-04 00:30:08
1	41.08	2363657	4561129	C++	Ztrk	
1	40.08	1673512	4524950	C++	Ryoken	
1	38.64	2924895	3399667	C	trictrac	
1	35.76	4498460	4292366	C++	saraneth	
1	35.6	1781409	4579731	C++	schubc	
1	34.38	3136787	4725289	C++	jacek	
1	34.12	154984	4517562	C++	_Royale	
1	30.09	1479930	3529676	C++	LeRenard	
1	27.9	2311105	4010925	C++	kovi	
1	26.44	4615176	3936519	C++	guperman	
1	26.21	1314316	3512951	C++	jolindien	
1	23.69	4261218	3537660	Python3	Michael.C	
1	23.63	186179	3678756	C++	Nagrarok	
1	23.53	3885102	3915851	Javascript	SnowballSH	
1	23.23	2328161	3449457	Javascript	Joethebus	
1	23.22	4334237	4701727	Javascript	BJD	
1	23.19	811622	3460863	C++	Scarfield	
1	22.3	2156363	4547630	Python3	mardelbot	
1	19.33	3839774	3532182	Rust	gurvan_lullien	
1	19.25	2968035	3400423	C++	DomiKo	
1	19.06	3457031	3470299	C++	YurkovAS	
1	18.98	4711508	4435769	Python3	Graphir	
1	18.48	1611699	4437348	Java	EpiFlop	
1	18.4	163666	3703263	Python3	sapfeer0k	
1	18.25	3903473	3404462	Python3	Konstant	
1	18.12	4060102	3877078	C#	Antash	
1	18.07	1752303	3487940	C++	murrayr	
1	17.12	2376044	4313781	C++	NecroSchmurf_IV	
1	16.46	1676711	4437311	Java	Eeeval	
1	15.94	4031451	4398985	Java	pbou	
1	15.9	1802967	4434761	Python3	Meruem	
1	15.71	311035	4469147	Python3	leojean890	
1	15.53	3815413	3517648	Swift	Michael_Howard	
1	15.45	4090213	3405310	Java	andrecab	
1	14.76	3533314	3402789	C#	skotz	
1	14.1	3951263	3513230	Python3	Akiura	
1	13.47	2475706	4398091	C#	Shand	
1	13.37	5002227	4706345	C#	SarahRawlinson	
1	13.23	4414812	3919904	C++	S_A	
1	12.95	2033641	4437359	Java	subastien	
1	12.3	4621421	4437376	Go	Fourgate	
1	10.93	3334658	3509978	Java	Aquaphobe	
0	23.07	1861279	3746597	Java	NFTsPrivateSale	
0	22.82	2290633	3401395	Python3	field3	
0	22.67	5067010	4443453	Javascript	ReglisseChessEngine	
0	21.21	1096274	4065017	C#	DrBrask	
0	20.74	4071357	3525363	Python3	GrowlingBear	
0	20.47	2833929	3894767	Python3	pcourrousse	
0	20.4	3647844	4028312	Python3	rc95401	
0	20.17	4156437	3440037	C++	komiamiko	
0	19.08	1433657	4382550	Python3	JJ6542	
0	18.81	4420742	4452871	Javascript	Mortis_666	
0	17.82	3691491	3462795	Javascript	icecream17	
0	17.75	3657937	3399256	Python3	elderlybeginner	
0	17.39	3710815	3577807	C++	iwioi	
0	17.36	3274956	3408059	C#	LeProfesseur	
0	17	1040176	4273838	Python3	BoBot	
0	17	3846244	3426610	Python3	JLukeSkywalker	
0	16.79	3465870	3513150	C++	HBaudet	
0	16.62	4282042	4397288	Java	aCatAI	
0	16.54	4756693	4393845	Python3	MorningWalk	
0	16.47	1412263	3405274	PHP	PatrickMcGinnisII	
0	16.46	4695398	4278685	Javascript	NikolayBliznets	
0	16.45	1288527	3427566	C++	Snef	
0	16.4	1066745	4526659	Java	DepartmentOfRedundancy	
0	16.36	4562865	4283182	Python3	VilBoub_junior	
0	16.35	1520734	3517051	Javascript	BarlesBarles	
0	16.34	1336464	3445756	C++	magaiti	
0	16.32	4943001	4435425	Python3	Cysharp	
0	16.3	4992075	4723043	Python3	RogersMath	
0	16.3	4275953	3512622	C++	fff1015	
0	16.28	5266616	4653851	PHP	zorori	
0	16.27	1013649	3718040	C++	Nodren	
0	16.27	4145261	3571950	Java	MR.AEON	
0	16.26	5288454	4703808	Python3	FartyCodes	
0	16.21	1609946	3803266	Python3	PeopleOfPlay	
0	16.21	4778882	4027001	Java	Bea2	
0	16.21	3737269	3395428	Python3	htprogras	
0	16.2	4281792	3776876	C++	YorkParodie	
0	16.19	1035630	3684990	Java	Vestiaz	
0	16.19	3569066	3457935	D	derjack	
0	16.18	4277867	4402414	Bash	About	
0	16.16	3961307	3512404	Javascript	xXokeMasterXx	
0	16.16	3516345	3514047	C	Jp82	
0	16.15	4027469	3511980	Javascript	Sharki	
0	16.15	2779063	4397232	Python3	LegendsOfCodeAndMagic	
0	16.13	3857811	3879223	Python3	KidsTech50000	
0	16.13	1786692	3987385	C#	Matryzas	
0	16.12	4237392	3515470	PHP	haykuro	
0	16.12	3517465	4391032	Python3	Aviously	
0	16.11	4288730	3933016	Java	SkyfightTV	
0	16.1	3721214	3395359	C++	jrke	
0	16.07	3344383	4404134	C++	Czejoo	
0	16.07	4233955	3515934	C#	Christian_P	
0	16.07	4694923	4279051	TypeScript	AntonBlockchain	
0	16.06	4064173	3429399	C#	Alurian	
0	16.05	4141556	3954851	C++	Justnoone	
0	16.05	232528	3695473	C	cegprakash	
0	16.05	4895850	4300793	C++	BIET_Kumar	
0	16.04	1971865	3459467	Python3	Nanosplitter	
0	16.04	928567	3776631	C++	Konstanta	
0	16.04	4277085	3512591	C	BoomFlight	
0	16.04	4818449	4432213	Python3	PythonOps	
0	16.02	3863256	3966714	Javascript	Deuzwood	
0	16.02	4251195	3509951	Java	Smelty	
0	16.01	5162684	4516010	C++	Jakub_Wisniewski	
0	16.01	4391541	4138415	Python3	burger4d	
0	16.01	4562862	4290530	Python3	Scouipou	
0	16	3787927	3959243	Javascript	WilliAlejo	
0	16	2371784	3530790	Java	JM_06	
0	16	3314492	3513561	Python3	__Caveman__	
0	16	3984673	4323868	Python3	Rodrigo_the_coder	
0	15.99	2852592	3511978	C++	OHER	
0	15.99	3754358	3515813	Python3	Maxordd	
0	15.99	1713174	3406262	Python3	BigUP	
0	15.99	4158566	3403123	Python3	intt	
0	15.98	4268555	3510976	Java	ish12	
0	15.98	3420127	3514025	Python3	abraaobarros	
0	15.98	889789	3510207	C	Alain-Delpuch	
0	15.98	3774045	3510776	Python3	MasterDuck	
0	15.97	4002604	3516577	C	Phurapper	
0	15.97	1863217	3511953	C	Draradech	
0	15.96	5177572	4537413	Python3	ItsMoAli	
0	15.96	4493640	3832019	Python3	ChuaZhengHongJonathan	
0	15.96	4626700	3955794	PHP	JohnyDarecek	
0	15.96	3771476	3970779	Python3	Ronny240	
0	15.96	3900466	4635623	Python3	Mikanom	
0	15.96	2325449	3502826	PHP	otpv	
0	15.96	4105514	3405727	Python3	FeiChong	
0	15.95	4073880	4722535	Python3	dapexyz	
0	15.95	397891	3514792	Go	Blindiak	
0	15.95	2517057	3525527	C++	Edds	
0	15.94	3354337	3395508	C++	Westicles	
0	15.94	4263290	3508512	Python3	HoneyCombo	
0	15.94	3529121	4721555	Javascript	Dylan.lgt	
0	15.94	1757865	4394544	Python3	Hyrozen	
0	15.94	1800997	3743511	Python3	TheProCode	
0	15.93	886483	4371024	C	R4N4R4M4	
0	15.93	4626821	3916809	Python3	asfifdkdi	
0	15.93	4183089	3985058	Python3	PringleOrange	
0	15.93	2069141	3447990	C#	tomeko	
0	15.93	4267952	3513725	Python3	bhger	
0	15.93	5246182	4635187	C++	PeterCode112233	
0	15.93	4607123	3896633	Python3	Galaxy_edit1YT	
0	15.92	4291129	3680004	Java	BorisGrushenko	
0	15.92	2334524	3486891	Lua	djsapsan	
0	15.92	4646980	4248040	Python3	Kururugi	
0	15.92	4279233	3513087	Python3	Alex-1	
0	15.91	4263279	3516372	PHP	Arbie	
0	15.91	4172184	3751644	Python3	5nr	
0	15.91	4289609	3516797	Python3	Narolph	
0	15.9	4869753	4386502	Python3	alexandre-aco-code	
0	15.9	4039794	3922528	Python3	Codeab	
0	15.9	5066127	4450815	C	the-horse	
0	15.9	537647	4056195	Python3	ilanouh	
0	15.89	1703321	3518695	C++	SDPoisson	
0	15.89	4225336	3509188	C#	Ludovic023	
0	15.89	4526164	3840756	Python3	Hyukz	
0	15.89	4153954	3508750	Python3	RichardTheDou	
0	15.88	1802808	3705911	Python3	EnderWiggins	
0	15.88	4280786	3525715	C++	chocoK	
0	15.88	4451835	3782396	C++	woowang	
0	15.88	4767314	4423304	Python3	GreyKnight21	
0	15.88	4283345	3510395	C++	CarryLuk	
0	15.87	2901011	3509705	C#	Ayakor	
0	15.87	4643900	3932829	Python3	nxss_	
0	15.87	4206218	3797723	C#	Jerrasterix	
0	15.87	4313610	4002403	C	jmendes	
0	15.86	2902168	3908075	Python3	Fabrice-j	
0	15.86	4132090	3509085	Python3	APV6906	
0	15.85	1638393	4400455	C#	Foonesh	
0	15.85	1883670	4398228	Javascript	radekmie	
0	15.85	4983222	4512621	Python3	HurtaEdu	
0	15.84	4908161	4299360	C++	MathS65537	
0	15.84	1830993	3451139	C#	jpcheck	
0	15.84	5048441	4432716	Python3	MonkeMonte	
0	15.84	4801044	4698785	C++	mannouao	
0	15.84	862819	3664147	C#	Umbakrail	
0	15.84	2824008	4707924	C#	OccitanieFreelancer	
0	15.84	4248615	3475383	C	Gbrouwer	
0	15.84	4274399	3512842	Python3	AdrienPEREIRA1	
0	15.83	1861852	3441566	Javascript	Cramer	
0	15.83	3646435	3512909	Javascript	tsiryJL	
0	15.83	2930017	4019433	Python3	XueHuaPiaoPiao	
0	15.82	3657275	3513361	Python3	jujurocking	
0	15.76	3996765	3514251	Python3	77616e6e61637279	
0	15.75	4140181	4702433	Python3	BirneHugo	
0	15.71	4737782	4004274	Go	FakeUsername	
0	15.71	2566623	3682346	C++	VincentBab	
0	15.71	4344120	3747928	Python3	thunfischtoast	
0	15.7	3563934	4511663	C#	ChuckTheNinja	
0	15.66	5277752	4694403	C++	GHDES	
0	15.65	385699	3437438	Go	Nikai	
0	15.61	4988410	4477849	C++	Palau	
0	15.53	2089692	3533580	Scala	raxkin	
0	15.51	5072331	4718628	C++	TiPoix	
0	15.06	1838289	3942119	C++	Dagal	
0	14.95	3737271	4285086	C#	berlioz	
0	14.88	4379435	3719011	Javascript	Naourass	
0	14.36	2613979	3510050	C#	Akhaten	
0	14.3	4634821	3929217	PHP	MrSimh	
0	14.23	4451780	3773878	TypeScript	FrontendCoding	
0	13.92	1436776	3949025	C++	BrainSolver	
0	13.34	3781816	3563663	C#	saw7	
0	12.26	1610862	3519807	Go	JoseSantosL	
0	11.43	1449903	3844362	Python3	AKIBA	
0	11.38	4274025	3514059	Python3	joniebear	
0	8.07	3644101	3881660	Python3	miaouuu	
0	4.45	4170716	3513363	Python3	TimothyTinTzeSo	
0	4	1109021	3530894	C++	Toefski	
0	3.45	4286452	3513684	Python3	RockyHB	
0	2.92	4390977	4507495	Python3	mrq0340a	
0	2.54	484004	4397122	Java	aCat	
0	2.32	5000853	4403439	Python3	doggydog	
0	2.22	4192832	3801820	Python3	HV_05	
0	1.85	1367088	3805552	C#	magus2	
0	-4.11	4100445	3514434	Python3	MathiasBennick	
0	-4.7	4254731	3886872	Go	Bisexual-Gurl	
0	-10.15	2380974	4524821	C	Panera	
