League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=67,time=2023-01-30 00:31:09
0	33.88	1537951	4386904	Java	Nerchio	
0	33	2311105	4720068	C++	kovi	
0	32.19	2968035	4394538	C++	DomiKo	
0	29.64	1186250	4724546	C#	Gabbek	
0	28.67	3744758	3943055	C++	Mateuszrze	
0	28.36	3533119	4475066	Python3	wlesavo	
0	27.54	3816482	3943086	C++	marcee927	
0	25.6	4882037	4705720	C#	CrystalRushLearning	
0	25.44	1758330	3942070	C#	Kamirus	
0	25.12	2969097	3943767	C++	kempusss	
0	24.57	4584723	4288029	C++	babaaurhum	
0	24.15	2924895	4293553	C	trictrac	
0	23.88	2793659	4724406	Python3	Theophrastus	
0	23.46	1479930	3950636	C++	LeRenard	
0	22.93	4571984	3951756	Python3	Golova1111	
0	22.33	155774	3957164	C++	dwarfie	
0	22.27	3732452	3940971	C++	ItachiEU	
0	21.2	2290633	3945838	Python3	field3	
0	21.14	1029602	4410902	C	Potemkine	
0	21.09	2288263	4421940	Rust	dbdr	
0	20.8	4572223	3943231	C++	oskar1	
0	20.74	3902927	3949443	Python3	Bulgot	
0	20.33	4555810	3942010	C++	JakubM30	
0	19.25	1412263	4504016	PHP	PatrickMcGinnisII	
0	19.19	4992075	4544094	Python3	RogersMath	
0	18.99	3741491	3939725	C++	inverb	
0	18.86	3482949	4478105	Java	Masshood	
0	18.73	2184856	3942742	C++	MichalOp	
0	18.44	3745995	3941122	C++	MicGor	
0	18.43	4560625	3939120	C++	voytekf	
0	17.96	4573226	4001213	Python3	anka_nose	
0	17.74	3748819	3966272	C++	Flaj	
0	17.62	4326741	3938707	Python3	Ventus550	
0	17.61	2976356	3961356	C++	magmasa	
0	17.49	4547463	3943048	Python3	nachokelkar	
0	17.11	3741421	3943715	C++	WojtekP	
0	16.86	3903473	3939427	Python3	Konstant	
0	16.83	3513265	4286208	C++	DaNinja	
0	16.77	1883670	4398217	TypeScript	radekmie	
0	16.43	4560715	3942474	TypeScript	Altronin	
0	16.42	3647844	3963951	Python3	rc95401	
0	16.4	484004	4297047	Java	aCat	
0	16.27	3983017	3940285	PHP	TLbuis	
0	15.8	4552619	3942915	C#	Inquis	
0	14.64	4277867	4404685	D	About	
0	14.42	3563934	4308023	C#	ChuckTheNinja	
0	14.15	2716329	4491655	Python3	Recher	
0	13.9	3141948	3953165	Python3	philRG	
0	13.54	314562	4374153	C++	Mechar	
0	13.42	4282042	4397294	Java	aCatAI	
0	12.27	1385211	4300592	C	Thheo	
0	12.17	4211056	3983740	C#	Nachosauce	
0	11.95	3136787	3995531	Python3	jacek	
0	11.91	3344383	4404126	C++	Czejoo	
0	11.85	1038359	4453217	Python3	Ronnie147	
0	11.82	4626700	3955792	PHP	JohnyDarecek	
0	11.8	3354337	4070320	C++	Westicles	
0	11.71	1713174	4371928	Python3	BigUP	
0	11.61	4183089	3985082	Python3	PringleOrange	
0	11.61	4737782	4006153	Go	FakeUsername	
0	11.58	4883414	4504648	C++	doogymaniac	
0	11.5	2779063	4397240	Python3	LegendsOfCodeAndMagic	
0	11.42	2325449	3992931	Perl	otpv	
0	10.94	1653268	4603170	Go	YikeyYikes	
0	9.9	2017805	4334627	Python3	Winter_not_comming	
0	7.44	2069141	4291341	C#	tomeko	
0	2.44	1500515	4024291	Python3	eulerscheZahl	
