League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=5077,time=2023-02-07 00:30:23
6	31.69	1049935	3941001	C++	Azkellas	
6	30.05	1607522	1886979	C++	RoboStac	
6	28.75	735910	1886983	C++	Agade	
6	28.36	736075	2502754	C++	Xyze	
6	27.91	1479930	2653880	C++	LeRenard	
6	27.38	4920336	4635512	C++	DTKCat	
6	27.25	1818159	1886984	C++	JRFerguson	
6	27.14	1772240	2140156	C++	Wazabis	
6	26.15	3076654	3038687	Python3	bonebone	
6	26.15	3457031	4497511	C	YurkovAS	
6	26.07	3862476	3048449	C++	Toster256	
6	26.04	5209733	4652600	Java	MatPogora	
6	25.48	1106450	1886977	C++	RiSuS	
6	25.47	3821853	3810126	Java	Trice	
6	25.42	341112	2056255	Java	Sladix	
6	25.39	1952778	3701001	C++	blast_beat	
6	25.25	3775369	2889159	Java	umesh007	
6	25.21	3973359	3671939	Java	KAbel	
6	25.1	154984	2633718	C++	_Royale	
6	24.78	1372349	1886988	Java	NinjaDoggy	
6	24.73	3363565	2663828	Java	BloodRayne	
6	24.7	5068410	4507883	Java	CIR3_Mathieu	
6	24.66	1629259	2238437	C++	Marchete	
6	24.63	359096	3168353	Java	Skyloro	
6	24.52	3649510	3125553	Java	TheMaskie	
6	24.47	3689286	2692185	Java	CedricML	
6	24.33	2522090	1886986	C#	MSmits	
6	24.21	3076711	3168352	Java	Sceurpien	
6	24.2	1606614	2138812	C++	Wazaa	
6	24	4168438	3412168	Java	Aoeuid	
6	24	4070745	3812047	Java	HoriMiyamura	
6	23.59	2924895	3888535	Java	trictrac	
6	23.47	5210045	4656723	Java	Jeyster	
6	23.47	3368067	3982321	Java	jgall	
6	23.32	4148846	4156606	Java	SkyWhait	
6	23.21	893541	2713397	Java	wala	
6	22.7	1845617	3740747	Kotlin	Shingy	
6	22.39	4146143	4633982	C++	Zabym	
6	22.31	754792	3676699	C++	Ramdeath	
6	21.21	1489865	1886981	C++	EricSMSO	
6	20.99	1757536	4248826	Python3	BlueGhost31	
6	20.99	1597335	4424786	Kotlin	Fizimatik	
6	20.41	1480501	1942292	Java	DaFish	
6	20.21	3533119	4027387	C++	wlesavo	
6	20.18	154312	2613151	Java	ThomasNicoullaud	
6	19.78	1890185	3676700	C++	num	
6	19.55	1341520	2631823	Java	egaetan	
6	19.3	1500515	1886985	C#	eulerscheZahl	
6	19.28	1127783	3048280	Python3	zouzou	
6	19.12	2998967	3701524	TypeScript	Gilde	
6	19.08	1347650	4643976	C++	T-Dup	
6	19.03	1673512	1886976	C++	Ryoken	
6	19.02	2263101	2633677	C#	Rewolf	
6	18.52	2647140	3048279	Ruby	nisizawa	
6	18.22	1902840	2633678	C	mechatronick	
6	17.79	1059313	3070584	C++	_SERGE_	
6	17.33	820000	2633647	C++	ValGrowth	
6	16.67	1816783	4027255	C#	NightLuna	
6	15.88	4395858	3790079	C#	SaidAouani	
6	14.99	1869024	2237998	Java	Xa2017	
6	13.28	1066745	4422437	Java	DepartmentOfRedundancy	
6	12.06	2695697	3841051	Java	bobrkiller333	
6	9.85	5097992	4549996	Java	haiko256	
6	8.23	1487392	1887290	Kotlin	Razielwar	
6	7.33	4023121	3664084	Java	Zanoshky	
6	2.64	5210937	4566294	Java	Tirvix	
5	25.19	4826182	4509351	Python3	Cadmiom	
5	24.45	3922325	3070692	C++	Degalat	
5	24.21	3808031	3027616	Java	_proton	
5	23.63	4480802	4424001	Kotlin	Nagatsuka_Akiya	
5	23.23	2786666	3075464	C++	TetraktysPhi	
5	23.08	4046568	4560413	Rust	jfaixo	
5	22.98	1407621	1934990	C++	Taohbi	
5	22.92	1945936	1876846	Python	Spacerouquin	
5	22.79	5300927	4731721	C#	MatthiasPajot	
5	22.71	568476	1876872	Java	Dje54	
5	22.65	3740498	3006102	TypeScript	TODO_Slytherin	
5	22.59	1676711	1876813	Java	Eeeval	
5	22.5	2427608	4030536	Java	PACO_Adel-Le-bogoss-du-59	
5	22.42	1983336	1932837	C++	Tiutens	
5	22.39	3468458	2674366	C#	Temba	
5	22.26	3718653	3008260	Javascript	invi2k	
5	22.22	928567	4310359	C++	Konstanta	
5	22.21	351062	2049267	C++	Neumann	
5	22.2	2434893	1888608	Clojure	cdurbin	
5	22.18	1853956	1876851	PHP	yoannk	
5	22.1	912633	1933842	C#	Poviliukas	
5	22.02	1792429	1876803	Java	Wildum	
5	21.94	1304841	1940834	Java	NitMpez	
5	21.92	153683	1876827	Java	40R15T3	
5	21.91	4589241	4169316	Python3	Setra022	
5	21.88	4764217	4034788	Java	PACO_IFleeXyZz	
5	21.87	805067	1876810	C++	Magus	
5	21.84	1836058	2150566	Javascript	SeebOmega	
5	21.8	153030	2455520	C++	joH	
5	21.79	3427526	2480843	Python3	remi2257	
5	21.77	2288263	2068013	Java	dbdr	
5	21.75	938714	1876834	C++	Kristijonas	
5	21.74	1073247	4437616	C++	_NikJ	
5	21.72	2946738	2654561	Python3	The_winter_soldier	
5	21.68	4760179	4030003	Java	PACO_SponQy	
5	21.64	2906497	3064890	C++	daaskare	
5	21.63	1931039	1887149	C#	MooMooN	
5	21.49	3594888	2654562	Python3	neymar_	
5	21.44	4154326	3428522	Go	montplusa	
5	21.43	3964625	3107259	Python3	hypocrite	
5	21.35	1756952	1881854	C++	Petras	
5	21.32	1193679	2265685	Python3	Icebox	
5	21.3	2913725	2654898	Python3	SherlockTD	
5	21.18	1671658	2036356	C++	Kirbiby	
5	21.17	2571540	4079249	Java	Nagatwin	
5	21.15	3239151	2330054	C#	Tanorion	
5	21.05	1186250	4439618	C#	Gabbek	
5	21.02	2450542	2341537	C++	MARClUS	
5	20.87	2643470	1887747	C++	Kaunas	
5	20.76	2173864	2653899	Python3	Chimera	
5	20.75	841085	1876840	C#	Risen	
5	20.73	1333869	1885718	Python3	kiwijam	
5	20.6	869239	1907730	C++	Vingte	
5	20.59	1724778	1945240	C#	nevpont	
5	20.54	1841269	3173565	PHP	Ser-Fazer	
5	20.52	3533314	3915560	C#	skotz	
5	20.36	1238934	1876843	C++	accorp	
5	20.28	2179805	2654560	Python3	_La_Pulga	
5	20.26	1407720	1876884	Python3	bananaMixer	
5	20.26	3544276	2603454	Python3	nidup	
5	20.2	1034635	1876833	C++	SlyB	
5	20.17	3621136	2690059	Python3	MichaelPu	
5	19.98	1491995	1887659	C#	Tyir	
5	19.96	849999	1900012	Java	Moez	
5	19.76	2489304	1955282	C#	Yawp	
5	19.61	1294909	1876860	Java	Priscus	
5	19.53	1109979	2603391	C#	Gloopy	
5	19.49	799904	4304697	C++	iwashi31	
5	19.47	4760114	4031012	Java	PACO_Eremith	
5	19.46	1480384	1876856	C++	RockyMullet	
5	19.44	1855741	1942946	Kotlin	MrKIP	
5	19.43	3715831	3164584	C#	UQ-LELE	
5	19.4	2512601	2017767	Python3	Sibwara	
