League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=510,time=2023-01-20 01:25:36
1	44.55	154984	4427509	C++	_Royale	
1	43.89	1607522	3827132	C++	RoboStac	
1	41.31	2522090	3866510	C++	MSmits	
1	40.77	1314316	3817856	C#	jolindien	
1	40.04	2311105	4561114	C++	kovi	
1	38.69	2638020	4545264	C++	ja_fica	
1	37.81	443750	4063240	C++	mlomb	
1	37.5	1061242	4560663	Rust	Csipcsirip	
1	37.03	664112	3832735	Rust	AllYourTrees	
1	36.84	2350415	4004505	C++	Vintarel	
1	36.52	3457031	4387931	C++	YurkovAS	
1	36.06	1306813	3741825	C++	sprkrd	
1	36.05	3136787	3851677	C++	jacek	
1	36	1540478	4386886	C++	struct	
1	35.91	2923506	3957119	C++	darkhorse64	
1	35.89	4482661	4411801	C++	square1001	
1	35.65	3918583	4412488	Rust	mikmak	
1	35.6	2924895	4525907	C	trictrac	
1	35.43	2295548	4509095	Rust	banban	
1	35.4	271945	3886095	C++	aangairbender	
1	35.33	2968035	4324269	C++	DomiKo	
1	35.03	1344487	3787209	C++	UnnamedCodinGamer	
1	34.82	1549145	3892060	C++	Mealc	
1	34.56	4037601	4339543	C++	Jelafo	
1	34.56	2288263	3702159	Rust	dbdr	
1	34.48	4208158	4204281	C++	Tiouz	
1	34.47	1673512	3795594	C++	Ryoken	
1	34.36	4067707	4077865	C++	therealbeef	
1	34.31	820000	4558149	C++	ValGrowth	
1	34.31	1050421	3730005	C++	geppoz	
1	34.11	4120837	4371955	C++	philipplenk	
1	33.74	4081634	3788573	C++	Wontonimo	
1	33.69	3802525	3851573	C#	Chibikko	
1	33.22	893541	4552369	Java	wala	
1	33.01	3779295	4010886	C++	xxd	
1	32.01	1952778	3963836	C++	blast_beat	
1	31.81	1479930	4034039	C++	LeRenard	
1	31.72	1854246	3712124	C++	Counterbalance	
1	31.42	484004	4397370	Rust	aCat	
1	31.3	1500515	3791915	C++	eulerscheZahl	
1	31.25	1709070	3710216	C++	platypus999	
1	31.23	1701924	3732019	C++	Kethryes	
1	30.99	4054608	4558946	C++	Rikus	
1	30.93	3497305	3509550	Python3	PyPatzer	
1	30.93	5164268	4557946	Java	oliflo	
1	30.81	1399382	3875695	C++	Regulus136	
1	30.45	581921	3940265	C++	GuyBol	
1	30.15	1489865	3883060	C++	EricSMSO	
1	30.08	811622	3794194	C++	Scarfield	
1	29.85	2515448	4307304	C++	ChuOkupai	
1	29.06	3207606	4476133	C++	TobiasA	
1	28.94	2874091	4385611	C++	5DN1L	
1	28.82	4334237	4248590	Javascript	BJD	
1	28.52	1309948	3739061	C++	Runner87	
1	28.3	1186250	3537270	C#	Gabbek	
1	28.12	808454	3706413	C++	.EagleDawn.	
1	27.99	839879	4696471	C#	Washier	
1	27.92	1537951	4385479	Java	Nerchio	
1	27.14	624295	3702692	C#	ExplodingKitten	
1	27.1	2907009	4448057	C#	Arnaud.Net	
1	26.84	3235897	4310540	Java	Zylo	
1	26.71	155774	4012422	C++	dwarfie	
1	26.45	3965571	3890591	C#	Smekarn	
1	26.42	2674460	3804998	Python3	Malte42	
1	26.37	1469666	3880837	C++	alenic	
1	26.33	3839774	3724568	Rust	gurvan_lullien	
1	26.3	4099691	3699918	OCaml	Butanium	
1	26.2	1172385	3794848	C#	LuckyMe	
1	26.16	1179950	4200748	OCaml	PattoWaGuruDesu	
1	26.16	1567943	3704087	C++	LazyMammal	
1	26.14	1477287	3510678	Java	im-eliminator	
1	26.09	335954	4376159	Java	nmahoude	
1	26.04	828239	4006252	C#	[SG]Sebastien	
1	26.04	1152991	3874716	C#	xoposhiy	
1	26.01	3697689	3647443	Rust	MrSkaal	
1	26	5057466	4548477	C++	Yai	
1	25.99	1140677	3765892	C++	Crog	
1	25.98	4338330	3703600	C#	0Ph	
1	25.86	1565304	3700638	Python3	Anxiko	
1	25.82	2067176	4073119	Javascript	0bug	
1	25.78	2544989	4446329	C++	lulugo19	
1	25.78	3847976	4009578	C#	[SG]Mob-Programming	
1	25.69	1802967	4401206	Python3	Meruem	
1	25.58	2978314	4585886	C++	guir	
1	25.51	706239	4052720	TypeScript	oetker	
1	24.88	4549748	4002322	Java	MathiasF	
1	24.86	3721214	4294530	C++	jrke	
1	24.83	3431280	4446541	Python3	luukhf	
1	24.75	4200593	4308884	C	qwatry	
1	24.67	4367418	3704091	Kotlin	Aplanos	
1	24.65	4648805	4484037	C++	LordOfElements	
1	24.59	668954	3727350	C++	Fluxor	
1	24.54	4260334	3720289	Python3	Cabbage_MANN	
1	24.5	2369368	4390021	C++	yaroslav_jin	
1	24.44	3525167	3706123	Java	fgsdt	
1	24.38	155896	3719711	PHP	gamoul	
1	24.35	4559916	4394874	Javascript	Karne	
1	24.33	4463354	3794016	C	Staticbounce	
1	24.3	3502867	4381217	C++	The_Duck	
1	24.25	2842531	3700439	C++	Kurs	
1	24.15	3647844	3979394	C++	rc95401	
1	24.03	4334406	3999257	Rust	camdan.me	
