League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=19,time=2023-01-19 00:30:03
4	33.48	3457031	4712390	C	YurkovAS	
4	29.59	3563934	4711830	C#	ChuckTheNinja	
4	29	1489865	4712324	C++	EricSMSO	
4	28.57	1479930	4712264	C++	LeRenard	
4	28.56	2924895	4710910	C	trictrac	
4	27.34	1412263	4535728	PHP	PatrickMcGinnisII	
4	26.78	3647844	4518211	Python3	rc95401	
4	23.99	3996809	4513190	Java	VizGhar	
4	22.88	3141948	4512727	Python3	philRG	
4	20.99	2290633	4518607	Python3	field3	
3	22.38	3983017	4519436	PHP	TLbuis	
1	20.59	3165536	4696472	C#	barbora	
1	20.49	3323757	4710636	Python3	ByteWolf	
1	-1.06	973040	4536940	Rust	papyjo	
0	1.26	4277867	4534993	D	About	
0	0.91	1713174	4514815	Python3	BigUP	
0	0.69	3136787	4559001	D	jacek	
0	0.47	2824008	4707972	C#	OccitanieFreelancer	
0	0.47	4626700	4689193	PHP	JohnyDarecek	
