League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=17,time=2023-02-03 00:30:04
0	34.21	2924895	4557696	C	trictrac	
0	33.39	1489865	4722963	C++	EricSMSO	
0	31.83	2923506	4683792	C++	darkhorse64	
0	30.49	1802967	4635701	Python3	Meruem	
0	25.41	484004	4557654	Java	aCat	
0	20.43	1479930	4727177	C++	LeRenard	
0	20.31	2290633	4573322	Python3	field3	
0	20.01	1412263	4560011	PHP	PatrickMcGinnisII	
0	11.13	3136787	4558680	D	jacek	
0	10.91	2742653	4722274	Python3	0xPacman	
0	10.64	1713174	4694714	Python3	BigUP	
0	10.3	3569066	4726241	Swift	derjack	
0	9.54	4626700	4689190	PHP	JohnyDarecek	
0	9.35	4277867	4589631	D	About	
0	9.24	5274188	4682349	Bash	Guest3410	
0	9.24	3647844	4583532	Python3	rc95401	
0	-0.37	5310272	4721420	Python3	el_bourritoooo	
