League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=43,time=2023-01-23 00:30:17
3	36.64	2924895	4554949	C	trictrac	
3	34.39	893541	4434093	Java	wala	
3	33.7	3457031	4554451	C	YurkovAS	
2	27.38	1489865	4432955	C++	EricSMSO	
2	21.23	1684486	4714363	C++	Whopper	
2	18.93	3136787	4471043	C++	jacek	
2	17.98	2017805	4467103	Python3	Winter_not_comming	
2	17.95	1140677	4485117	C++	Crog	
2	14.9	1420817	4487315	Javascript	TheMagicShop	
2	14.82	4298841	4451812	C#	Dapps	
2	14.71	894599	4511000	Python3	DidierC	
2	14.56	1802967	4636813	Python3	Meruem	
2	14.1	3593941	4717428	Python3	Spielzeugente	
2	13.61	3647844	4435126	C++	rc95401	
2	12.96	2290633	4511001	Python3	field3	
2	12.3	311035	4438582	Python3	leojean890	
2	10.48	154984	4511022	C++	_Royale	
2	10.38	1412263	4511026	PHP	PatrickMcGinnisII	
2	5.39	5137243	4558837	Python3	Clement_RKG	
1	21.74	3478673	4717458	Javascript	never-again	
1	19.72	4277867	4534448	C++	About	
1	18.61	3983017	4473351	PHP	TLbuis	
1	18.61	839879	4610687	C#	Washier	
1	18.49	854952	4713101	Java	dolmen1234	
1	17.92	3721214	4697454	C++	jrke	
1	16.97	973040	4717507	Rust	papyjo	
1	12.87	4018239	4439765	Java	MACKEYTH	
1	12.59	225875	4704168	C#	Leff	
1	12.41	3141948	4458822	Python3	philRG	
1	10.21	3563934	4514808	C#	ChuckTheNinja	
1	9.74	2315158	4514914	Rust	luigi_gelato	
1	9.13	4341304	4497363	C++	Remi.	
1	8.56	4213251	4705809	C#	FrancisTafe	
1	5.85	1479930	4434884	C++	LeRenard	
1	4.45	1071140	4703955	C#	BeberLeNewbie	
0	16.09	2583545	4449351	C#	Kewko	
0	9.29	3857811	4490165	Python3	KidsTech50000	
0	8.84	3569066	4470443	VB.NET	derjack	
0	8.64	2508635	4433250	Java	hemhel	
0	8.5	4626700	4491718	PHP	JohnyDarecek	
0	8.39	2824008	4707976	C#	OccitanieFreelancer	
0	8.1	3470270	4490878	Java	Tabaxi3K	
0	2.15	4275200	4655540	C++	Laverdo	
