League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=4587,time=2023-01-15 00:55:58
4	29.21	4062038	4690229	C++	delineate	
4	28.19	3348388	4692131	C++	bowwowforeach	
4	27.62	820000	4694282	C++	ValGrowth	
4	27.25	4802230	4693724	C++	Nanaeda	
4	26.6	4154326	4694522	Go	montplusa	
4	26.47	1082988	4689413	C++	Saelyos	
4	25.96	880353	4692518	C++	zasmu	
4	25.16	1629759	4698746	C++	MSz	
4	25.12	1737246	4690838	Python3	Adam798	
4	25.09	1500515	4690170	C#	eulerscheZahl	
4	24.64	1818159	4697489	C++	JRFerguson	
4	24.15	3193653	4692507	C++	karliso	
4	24.03	3819989	4692696	C++	KawattaTaido	
4	24.01	2577687	4692300	C++	blasterpoard	
4	23.94	873958	4694656	C#	cheeser	
4	22.9	154984	4689544	C++	_Royale	
4	22.61	610934	4693740	C++	y_kawano	
4	22.49	542999	4690740	C++	arturgo	
4	22.48	4063805	4692570	C++	viewlagoon	
4	22.37	2522090	4693144	C++	MSmits	
4	22.31	3042651	4693716	Go	slamo	
4	22.24	3801587	4691442	Python3	FlyingChoucroute	
4	22.16	351062	4690413	C++	Neumann	
4	22.08	335954	4693792	Java	nmahoude	
4	22.04	3235897	4691583	Java	Zylo	
4	21.93	893541	4694646	Java	wala	
4	21.79	2311105	4692353	C++	kovi	
4	21.71	668954	4693244	C++	Fluxor	
4	21.6	939375	4692716	Python3	Indrill	
4	21.44	1114834	4706104	C++	k4ng0u	
4	21.37	3836429	4693091	Java	hippipo	
4	21.17	4612757	4699627	C++	ael-bekk	
4	21.11	3629685	4705681	Javascript	Apofils	
4	21.04	2661980	4692966	Rust	Leos	
4	20.93	1106450	4693730	C++	RiSuS	
4	20.91	1944726	4692982	C++	bourgeof	
4	20.79	3502478	4690329	Kotlin	tachan	
4	20.78	3552779	4689648	C++	Peake	
4	20.77	1703255	4693973	Python3	ClementC	
4	20.75	5246622	4689959	C++	RinSakamichi	
4	20.5	3811112	4692005	C++	yukine3	
4	20.46	3136787	4695070	C++	jacek	
4	20.38	4491402	4700066	C++	bregneau	
4	20.09	2197296	4693814	C#	Elost	
4	20.08	3918583	4704896	Rust	mikmak	
4	19.42	869323	4693628	Ruby	Ferra	
4	19.26	2406320	4691584	TypeScript	aivarsliepa	
4	19.25	3514237	4692264	C++	ucarts	
4	18.93	2711438	4693043	Java	Aeneas	
4	18.69	1290569	4705695	C#	a76a44	
4	18.68	4054608	4692439	C++	Rikus	
4	18.03	4067707	4706522	C++	therealbeef	
4	18.02	3069534	4692271	Java	LoganWlv	
4	17.97	3245819	4692757	C#	TomA	
4	17.82	4046568	4700437	Rust	jfaixo	
4	17.72	3123981	4706440	C#	AAAAnt	
4	17.7	1765864	4693813	C#	SeJ	
4	17.67	4392834	4691072	C++	dasopapa	
4	17.56	3690597	4705804	C++	But_Why	
4	17.32	2021126	4692342	C	FPSCUBE	
4	17.12	4058636	4705786	C++	HMMD	
4	17	1537951	4692846	Java	Nerchio	
4	16.98	4065897	4691779	C++	tkodai	
4	16.17	3729666	4693859	C++	peerdb	
4	15.72	3244158	4694876	C++	rafaelcs	
4	15.5	1455753	4702234	Python3	Lysk	
4	15.29	443750	4692733	C++	mlomb	
3	30.05	3533119	4706735	C++	wlesavo	
3	29.99	4339909	4692928	C++	mado-	
3	29.89	4300424	4693042	Rust	kurnevsky	
3	29.86	5111479	4705666	TypeScript	hoangdt9	
3	29.82	2968035	4694123	C++	DomiKo	
3	29.52	1487392	4694514	Rust	Razielwar	
3	28.9	5111375	4699307	Javascript	hs.tung	
3	28.86	3738782	4706388	C#	Inaniwa	
3	28.79	1178569	4693853	Python3	Azerrr	
3	28.6	4524511	4704984	Python3	TheCondors	
3	28.49	1347751	4691412	Java	FunFR	
3	28.46	3015376	4693472	C++	gaha	
3	28.32	2622199	4692769	Python3	dungnss	
3	28.3	4525557	4690143	Python3	_KnightMarh_	
3	28.29	999411	4692023	C#	Kelos	
3	28.21	2128673	4690604	Python3	larrymotter	
3	27.83	1663349	4693111	Kotlin	Low-T	
3	27.81	4834559	4690045	Python3	_GBS_	
3	27.8	271945	4692694	C++	aangairbender	
3	27.77	1201796	4701585	Javascript	P.Greze	
3	27.43	3256846	4690540	Python3	Yohann62	
3	27.23	4452961	4692175	C	Sheeesh---	
3	27.12	1127783	4702106	Python3	zouzou	
3	27.07	508460	4696488	C++	Volia	
3	27.04	4324991	4692615	C++	Zach-Leee	
3	26.73	1422564	4700889	Rust	stolyaroleh	
3	26.68	4095128	4706012	PHP	Voltmachine	
3	26.64	4293521	4706378	Python3	AnteCristo	
3	26.56	886483	4697273	C	R4N4R4M4	
3	26.49	4322941	4695296	C++	hexagonee	
3	26.47	2566623	4693729	C++	VincentBab	
3	26.44	3018178	4691375	C++	Fallback	
3	26.44	4392420	4692452	Java	[The_Great_Wizard_Jenkins]	
3	26.38	4296900	4693133	C++	hok	
3	26.37	4869092	4692844	Javascript	GigaMegaUltraItalian	
3	26.36	4308501	4689403	Python3	TheBobbyCarotte	
3	26.32	1630890	4692598	Java	Wld	
3	26.29	2247033	4693905	C++	Enchante	
3	26.29	4281681	4693100	TypeScript	BiasInput	
3	26.22	4230284	4693351	C++	Mriant	
3	26.2	153527	4691962	Python3	Amendil	
3	26.19	5145701	4690197	Ruby	LocK._	
3	26.11	4801044	4694074	C++	T19	
3	26.09	4069531	4696008	Javascript	KaPen	
3	26.06	1179950	4692106	TypeScript	PattoWaGuruDesu	
3	26.03	5095582	4692790	Javascript	bx.thoai	
3	26	4656268	4692094	Java	Plefevre	
3	25.93	5057466	4693231	Python3	Yai	
3	25.9	154935	4692608	Scala	yamo	
3	25.85	3719253	4691452	Javascript	daffie	
