League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=24,time=2023-01-21 01:02:51
0	32.6	2311105	4411596	C++	kovi	
0	30.71	3235897	4411477	Java	Zylo	
0	30.23	4989275	4392104	Python3	Gizeh	
0	24.24	5093342	4492328	Python3	wowarlok	
0	23.96	1479930	4420679	C#	LeRenard	
0	23.86	2290633	4320773	Python3	field3	
0	18.55	1440111	4482547	Java	nicZ	
0	17.97	3647844	4291376	Python3	rc95401	
0	17.9	2373953	4701466	TypeScript	Dridriun	
0	16.88	862919	4393143	C++	Astrobytes	
0	16.38	1412263	4298150	PHP	PatrickMcGinnisII	
0	15.2	4988410	4486734	C++	Palau	
0	11.04	3136787	4395368	Swift	jacek	
0	10.54	4277867	4403874	D	About	
0	9.88	2325449	4420008	Perl	otpv	
0	9.68	3569066	4393064	Lua	derjack	
0	9.65	1713174	4371925	Python3	BigUP	
0	9.52	4626700	4370989	PHP	JohnyDarecek	
0	9.32	5036251	4433365	Bash	kyjuan	
0	9.22	2069141	4291328	C#	tomeko	
0	8.95	2824008	4708153	C#	OccitanieFreelancer	
0	8.8	3354337	4289778	Python3	Westicles	
0	3.85	3274956	4294132	Java	LeProfesseur	
0	-0.76	5077310	4450361	Python3	LingxiZhou-github	
