League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=172679,time=2023-01-27 00:51:33
6	61.33	1400179	3124799	Python3	reCurse	
6	60.35	832306	2251077	C++	pb4	
6	56.92	1415495	2255817	C	fenrir	
6	55.39	735910	3413187	Python3	Agade	
6	48.39	3457031	4314820	C++	YurkovAS	
6	44.53	2710668	3329115	C++	IGGY	
6	43.61	2522090	4324984	C++	MSmits	
6	42.43	1336464	4339613	C++	magaiti	
6	41.95	5190229	4531532	C++	HYPERYump	
6	41.63	351062	3501277	C++	Neumann	
6	41.57	1169499	2267000	C++	naab	
6	41.46	2725066	2438973	C#	Cize	
6	41.41	1206537	3079256	C++	MadKnight	
6	41.33	2718975	3089592	C	mykeich	
6	41.32	4399833	4275250	C++	Peterpanda	
6	41.3	1607522	2358031	C++	RoboStac	
6	41.21	1712648	2036811	C++	luckyy	
6	41.21	735487	3111604	C++	amurushkin	
6	41.19	1687636	1777945	C++	GinkgoB	
6	40.86	1629259	2238586	C++	Marchete	
6	40.86	1480501	2358293	C++	DaFish	
6	40.81	1082988	3529734	C++	Saelyos	
6	40.79	736075	1845526	C++	Xyze	
6	40.71	826372	4447895	Java	skyyker	
6	40.68	1606588	2148302	C++	inoryy	
6	39.9	1775950	4375645	Python3	PlikPlok	
6	39.68	1106450	1489738	C++	RiSuS	
6	39.41	862919	3989204	C++	Astrobytes	
6	39.37	588426	3522836	C++	Jeff06	
6	39.36	2299716	1605959	C++	striker_-	
6	39.26	155091	2706875	Java	smeagol	
6	39.21	2320186	1779207	C++	aPoStAl	
6	39.15	2474201	1837459	C#	melanholy	
6	39.12	2972662	2246374	C++	Hoyer	
6	39.1	1661397	2189146	C++	MightyKnight	
6	39.07	5095133	4483186	C++	bt.nguyen	
6	39.04	1298794	4271950	C++	Husenap	
6	39.03	3278216	2430736	C++	MagicMage	
6	39.03	2950035	4415760	C++	drunkennoone	
6	39.01	2968035	4320213	Python3	DomiKo	
6	39.01	371603	1775718	C++	martin	
6	39	5103983	4482191	C++	lv.hoang1	
6	39	3721214	4294272	C++	jrke	
6	38.99	2868729	2095031	C++	Sneffos	
6	38.96	2906497	2245453	C++	daaskare	
6	38.96	1756952	1940940	C++	Petras	
6	38.96	1288527	2054946	C++	Snef	
6	38.96	1378958	1775314	C#	Illedan	
6	38.95	5114798	4486437	Haskell	np.binh	
6	38.94	1100752	1440668	C++	ValNykol	
6	38.94	4373099	4488936	C++	Andy_Dangerous	
6	38.93	5095028	4484144	C++	vtt.lam	
6	38.92	3748819	3720863	Python3	Flaj	
6	38.92	2167128	1454119	C++	ironyy	
6	38.92	3076371	2582858	C++	Krakota	
6	38.91	2281780	1581131	C++	NapTown	
6	38.9	1754295	1780081	Java	SF	
6	38.9	1064903	1776758	C++	Ghirtor	
6	38.9	1131528	1787877	C#	Owl	
6	38.9	2007852	3111312	Go	Zorg1	
6	38.89	2243900	2572812	C++	hardbottle	
6	38.88	1384397	3837421	C#	BigZ	
6	38.88	1479930	2428751	C++	LeRenard	
