League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=413,time=2023-01-16 00:30:11
1	39.28	4067900	4501396	C++	Nyanyan	
1	37.32	4482661	4501355	C++	square1001	
1	36.78	3971358	4489071	C	OldJohn	
1	33.76	4406246	4429992	Rust	Sosuupoyo	
1	33.41	1400179	3401929	C++	reCurse	
1	33.38	154984	4444619	C++	_Royale	
1	33.3	3136787	4558777	C++	jacek	
1	32.57	2924895	3044901	C	trictrac	
1	32.25	1607522	3405532	C++	RoboStac	
1	30.23	1314316	3836602	C#	jolindien	
1	29.6	1425201	3228625	Java	JamesPun	
1	29.14	3348388	3831022	C++	bowwowforeach	
1	28.92	2522090	3710330	C++	MSmits	
1	28.85	1673512	3805059	C++	Ryoken	
1	28.22	1479930	3798185	C++	LeRenard	
1	27.37	3457031	3989631	C++	YurkovAS	
1	27.28	4324220	4707243	Javascript	trineutron	
1	27.16	4468576	3831517	C++	E869120	
1	25.76	1171342	4341286	C++	okaduki	
1	25.6	862919	4404465	C++	Astrobytes	
1	25.49	2981630	4404463	C++	IHateTheIDEPlayLimit	
1	25.09	4416298	3762255	C#	JandoLingMei	
1	24.63	3918583	4412626	Rust	mikmak	
1	24.56	3805928	3776051	Rust	kapibara	
1	24.45	447185	4454868	Rust	tanakh	
1	24.23	4260220	3730177	C	Molpio	
1	24	2968035	3035524	C++	DomiKo	
1	23.77	839879	3079304	C#	Washier	
1	23.71	893541	4556426	Java	wala	
1	23.18	5288935	4704291	Java	catcat20	
1	23.16	3513265	3035255	C++	DaNinja	
1	23.13	1489865	3019938	C++	EricSMSO	
1	22.94	1256312	3413124	C++	Djoums	
1	22.81	3231345	4281791	C++	tokur	
1	22.13	523185	3536309	Rust	Hjax	
1	21.72	4643904	4558044	C++	Chippppp	
1	21.63	2881783	3727929	Javascript	eki	
1	20.86	4591152	4070358	C++	ogami	
1	20.84	3770928	3524540	C++	kuhqku	
1	20.72	1709070	3777996	Rust	platypus999	
1	20.46	4062203	4076899	Rust	soraie	
1	19.6	5218483	4630537	C++	dsjong	
1	18.24	4535607	4401335	C++	Zebrafish	
1	18.23	1802967	4301547	Python3	Meruem	
1	18.19	1077506	3143469	Go	gs2	
1	17.85	1344487	3483611	C++	UnnamedCodinGamer	
1	17.85	4060764	4315800	Java	kazukun1311	
1	17.34	2517057	4433777	C++	Edds	
1	17.22	5249433	4603489	C	MaitreYoda	
1	17.18	4065227	4134724	C++	Pamplemus	
1	17.17	2451652	3378160	Java	code_of_the_dead	
1	16.88	1952778	3433022	Go	blast_beat	
1	16.74	4120837	3420902	C++	philipplenk	
1	16.74	4017708	4320728	C++	Florian3k	
1	16.67	4062633	3422352	C++	vm90	
1	16.56	1861258	3413937	Rust	Nazdhun	
1	16.39	1629259	3029739	C++	Marchete	
1	16.31	4942016	4558086	Rust	eijirou	
1	16.07	1188715	3437553	C#	BarcaRocket	
1	16.05	820000	3132209	C++	ValGrowth	
1	15.66	2718975	3442542	C	mykeich	
1	15.39	811622	3042390	C++	Scarfield	
1	15.31	4165433	3429861	C#	ChristianPR	
1	15.29	4460030	4560409	C++	pinetail	
1	15.11	3337117	4310769	Rust	timbersson	
1	15.02	4271551	3890332	C	cr4zjh0bp	
1	15	4072753	3467364	C++	mdstoy	
1	14.94	2288263	3024723	Rust	dbdr	
1	14.93	155774	3830736	C++	dwarfie	
1	14.88	3533314	3961712	C#	skotz	
1	14.84	1607034	3036522	Rust	tomatoes	
1	14.78	4166845	3428872	Java	HugeMissedSteak	
1	14.68	1114834	3362720	C++	k4ng0u	
1	14.49	3732957	3468872	C#	Misinn	
1	14.47	2169719	3906326	C	KaluTheFrog	
1	14.2	4054608	4700798	C++	Rikus	
1	14.06	1288527	3046800	C++	Snef	
1	13.84	1698954	3415622	Java	Neurovul	
1	13.13	2923506	3355597	C++	darkhorse64	
1	12.57	3956037	4412146	C++	GNAM	
1	12.52	3235897	3987244	Java	Zylo	
1	12.47	3647844	3987756	C++	rc95401	
1	12.28	4628766	3926839	C#	SugiZo	
1	12.22	4453748	3924466	Rust	fushigu	
1	12.15	4150804	3428319	Javascript	Groquette	
1	11.32	311035	3955838	C++	leojean890	
1	11.28	4057477	3418479	Java	Polilla	
1	10.51	2064637	3046796	Java	java_coffee_cup	
1	10.42	4638639	3948880	Python3	n_itsuki	
1	10.34	1566335	3978372	Java	BeardedWhale	
1	10.3	4659366	4496705	Python3	dekakurosempai	
1	10.14	3721214	4314628	C++	jrke	
1	9.99	792813	3798131	Python3	VilBoub	
1	9.67	1479137	3697914	C++	lorenzods	
1	9.45	2064633	3498834	Ruby	kev_in	
1	7.75	973040	3103413	C	papyjo	
1	-8.29	3822352	3695000	Python3	ngng628	
1	-8.43	2416641	3522081	Python3	Zenoscave	
0	32.03	4691447	4061621	C++	to_omoT222	
0	30.56	4273242	4063794	C++	SotaUN	
0	30.28	4110073	4293229	C++	souta_1326	
0	29.81	3569066	3956431	C++	derjack	
0	29.78	3478673	4422992	Javascript	never-again	
0	29.76	3873666	4405222	C++	brthyyjp	
0	29.62	4866464	4543101	C	vjules	
0	29.43	5230174	4559081	C	qjblqshkfdbf	
0	28.32	5231888	4560411	C	Cardinal_Sin	
0	27.07	3820935	4269755	C++	monnu	
0	26.99	2631845	3950556	C	Alirr	
0	26.77	3534078	3335617	C++	chabes	
0	26.58	4031451	4549268	Java	pbou	
0	26.58	4648805	4043872	C++	LordOfElements	
0	26.31	4001756	4707613	Python3	SonExcellence	
0	26.26	1630890	3413360	Java	Wld	
0	26.21	4648443	3950355	C	rezzzz	
0	25.83	4679676	3969433	Python3	Newbee123	
0	25.77	4051354	3330350	Python3	tofue2o2t2	
0	25.51	4030968	3481428	Python3	MBucas	
0	25.44	1480384	3329244	C++	RockyMullet	
0	25.41	3844100	4548003	C	Vicllo	
0	25.34	4306885	4022546	Python3	kuruton	
0	25.33	4667581	3950257	C	Gaav	
0	25.29	3914933	3954582	C	M.Taha7900	
0	25.05	4129774	3458926	C#	ErrorRazor	
0	24.88	335954	4068595	Java	nmahoude	
0	24.87	4231728	3520318	C#	TojoNatolotra	
0	24.84	4651450	3950141	C	splenta	
0	24.59	3360144	4556741	C++	n0ma_ru	
0	24.53	1484839	3508520	C++	sparky	
0	24.2	3635449	3950520	C	Amoo_Safar	
0	23.97	2656201	3409902	Python3	ThibaultRyt	
0	23.7	3820152	3714573	C++	jj1guj	
0	23.67	3065352	3335587	C++	Arti1990	
0	23.61	4919657	4688587	C	kakeudon	
0	22.97	4157545	3409416	C#	Mazsi7	
0	22.83	1786695	4391938	Java	Pro-LaP-Se	
0	22.68	2970996	4323423	Rust	Cookie_Wookie_7	
0	22.65	3049570	3404993	Python3	yco	
0	22.57	4074553	3319027	Python3	coom_st	
0	22.44	924995	4007372	Java	fabiengayraud	
0	22.41	3171976	3404452	TypeScript	horvbalazs	
0	22.33	4649890	3950388	C	Pargol	
0	22.32	2350587	4294168	Go	loxaxs	
0	22.3	3501027	3041694	C++	SteelSky	
0	22.29	4309574	3675145	Python3	KornDV	
0	22.26	4319239	4313336	Python3	-Cile-	
0	22.2	2290633	4426858	Haskell	field3	
0	22.2	3771662	4000116	Python3	meltice	
0	22.08	1412263	3021225	PHP	PatrickMcGinnisII	
0	21.95	1787301	3409718	C#	plecompt	
0	21.89	1753077	3087359	Python3	codingWhale	
0	21.87	4162603	3409934	Java	Eluminati	
0	21.76	4072594	3410966	C++	christopher192	
0	21.67	4063515	3327005	Python3	Mindme	
0	21.57	4373790	3704000	D	Eltrion	
0	21.47	4345735	4032047	Python3	rinmao	
0	21.42	4772824	4042434	C++	ssaattoo	
0	21.28	3965571	3679014	Python3	Smekarn	
0	21.27	4058276	3204407	Python3	aatif_khan	
0	21.27	224325	3325321	Javascript	[BZH]TidyMaze	
0	21.21	2562633	3339153	Python3	Nodascott	
0	21.17	1886665	3031765	C++	Ficek	
0	21.14	3739457	3682471	C++	ar-c	
0	21.12	4597190	3892294	Java	Eraser_Head	
0	21.02	4785778	4190958	Python3	Pharallaxe	
0	21.02	483813	3428171	C++	dabro90	
0	21	4130131	3413294	Python3	YuvalG	
0	20.99	4526264	3885295	Python3	cly	
0	20.97	240311	3406935	C#	Myrthem	
0	20.91	2050244	3012967	Python3	Cezuriku	
0	20.77	2502545	4038770	C#	Tonton_sushi	
0	20.73	1272263	3407068	Python3	Caled	
0	20.71	3519557	3853614	Javascript	aptash	
0	20.53	3839737	3031777	C++	BlackOnWhite	
0	20.41	4134816	3405809	Python3	.[-.-].	
0	20.34	3841823	3019932	C#	hadesblade	
0	20.24	436451	3999307	Rust	piri	
0	20.24	3750017	3675249	Python3	AntoniDabrowski	
0	20.16	5033051	4472017	Python3	Asari	
0	19.55	4776016	4390960	Java	_Pioneer	
0	19.38	4649882	3950515	C	aalalirezasouri	
0	19.3	3477071	3128611	TypeScript	CookieMonster2703	
0	19.22	4650505	3950534	C	tayyeb	
0	19.21	4652730	3949814	C	hamidalp	
0	19.2	3820540	3261517	C++	HitsujiRere	
0	19.19	4142024	3406193	Javascript	Yoloboun	
0	19.13	2833929	3067052	Python3	pcourrousse	
0	19.1	1863849	3930425	C#	Peglo	
0	19.09	3857428	3746851	C#	phile13	
0	19.07	4323822	3912270	C++	keep_OC	
0	19.03	1461329	3950494	C	AM1648	
0	18.94	4649944	3950524	C	MrTbag	
0	18.86	4651044	3950526	C	aarr81	
0	18.84	3270799	3942224	C++	Kalam132	
0	18.78	2592027	3025137	C#	ParticleBeam	
0	18.78	3536920	3406521	Python3	mapapin	
0	18.73	3323757	3996311	Python3	ByteWolf	
0	18.7	2669728	3950492	C	Amnam	
0	18.67	3614203	4025123	Python3	TrivialDev	
0	18.6	1346401	3412642	Python3	Yeti78	
0	18.57	304126	3783888	PHP	kami	
0	18.5	3846244	3404414	Python3	JLukeSkywalker	
0	18.49	4152522	3416803	Java	wilkyo	
0	18.44	1030875	3408759	Java	Nibsi	
0	18.25	4149319	3405986	Rust	MKoding	
0	18.24	1529055	3408341	Java	PacMann	
0	18.22	1492846	4265414	Python3	mdaw	
0	18.21	4053693	4042796	Scala	KS2003	
0	18.21	1523900	3031735	C++	marwin	
0	18.19	4793122	4040046	C++	miiitomi	
0	18.19	4646174	3950435	C	Manit81	
0	18.18	3932077	3082627	Javascript	CopperFr	
0	18.14	2833886	3427429	Python3	KnutWart	
0	18.06	4649354	3950304	C	sadreddin	
0	18.05	1378958	3013233	C#	Illedan	
0	17.96	2094935	3409788	Java	blacpiece	
0	17.91	2007852	3012746	Lua	Zorg1	
0	17.88	3901571	3066366	Ruby	Koromo	
0	17.66	3739527	3406515	C++	Sofapuden	
0	17.62	1886386	3410925	Javascript	h0ly	
0	17.61	4155983	3406293	Perl	o0lit3	
0	17.43	3946840	3963012	C#	DirkieDurky	
0	17.42	4156154	3675650	Javascript	issogood	
0	17.33	4166226	3421695	Python3	Filip7	
0	17.32	2532837	3053867	Ruby	fauresebast	
0	17.3	3737269	3412441	Python3	htprogras	
0	17.22	1891787	4422573	Python3	Threyeth	
0	17.21	4150501	3404216	PHP	zdenak11	
0	17.15	2564717	4562874	C	k_yoshi_tosti	
0	17.11	3432946	3405295	Python3	Heartie_x	
0	17	4158723	3416565	Python3	RicoChr	
0	16.92	4739598	4002314	Python3	Diesbear	
0	16.88	3599907	3346830	Python3	aski	
0	16.81	508085	3697885	C#	CoachPRGM	
0	16.69	4074770	4455557	C	kanataso	
0	16.69	231975	3405957	C#	Remoh69	
0	16.68	1447534	3413375	Ruby	Scapesalot	
0	16.65	1173061	3459354	Javascript	Malerio	
0	16.64	1468321	3032749	Java	vokuheila	
0	16.63	4650846	3950319	C	Hamed007	
0	16.6	3955301	3082498	Python3	SeptaCube	
0	16.47	788361	3402600	Javascript	Bob	
0	16.45	3536919	3404561	Python3	Jorerock	
0	16.43	3563934	4403285	C#	ChuckTheNinja	
0	16.41	952284	3407494	C++	Copro	
0	16.33	3842724	3831080	C++	[ohirune]zzz	
0	16.18	336685	3407634	Scala	particulitis	
0	16.1	4633988	4548589	Javascript	brafael	
0	15.94	4141929	3409529	PHP	varfendell	
0	15.89	1968089	3908434	C++	MarcinDus	
0	15.88	3925832	3777968	C++	Maxim251	
0	15.83	4290399	4387157	Python3	iggy12345	
0	15.69	3580156	3803460	Python3	SeraphWeddUltimate	
0	15.66	886483	4324200	Javascript	R4N4R4M4	
0	15.65	4989694	4392795	Python3	Carlos4825	
0	15.65	889789	3016981	C	Alain-Delpuch	
0	15.64	3922731	3626400	Dart	Dartisan	
0	15.63	4449518	3771468	Python3	nagiss	
0	15.62	4653607	3949756	C	SAJJADAMIRI	
0	15.61	1540478	3524998	Javascript	struct	
0	15.61	2928146	3407273	C	LolCat	
0	15.6	3520022	4460663	Java	nicotoine	
0	15.57	1394491	3421140	C++	RGAM	
0	15.55	4139511	3412197	Python3	PabloBrianese	
0	15.53	1418821	3405562	C++	input.txt	
0	15.53	3675563	3408636	C++	QuentinSauvage	
0	15.5	3377745	3411602	Python3	mathieuv	
0	15.49	1411238	3605062	PHP	Stoi	
0	15.49	3821994	3910191	C++	UMRgurashi	
0	15.48	1247564	3408932	PHP	jgrenier	
0	15.48	4179852	4527476	Javascript	Galitan	
0	15.48	4650915	3950347	C	megaw	
0	15.47	3141948	3694267	Python3	philRG	
0	15.46	3305510	3110840	PHP	TBali	
