League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=311,time=2023-01-22 00:30:28
1	45.51	154984	4424583	C++	_Royale	
1	45.14	1607522	3772433	C++	RoboStac	
1	44.57	1629259	3771054	C#	Marchete	
1	43.39	3136787	4324141	C++	jacek	
1	42.24	3971358	4389593	C++	OldJohn	
1	41.99	4399833	4559414	Python3	Peterpanda	
1	41.2	735910	3023982	C++	Agade	
1	40.37	1479930	4007688	C++	LeRenard	
1	40	1400179	2700028	C++	reCurse	
1	39.49	3683265	4384917	C#	Bondo416	
1	39.24	2522090	4317460	C++	MSmits	
1	38.9	2968035	4508617	C++	DomiKo	
1	38.02	2976356	4305138	C++	magmasa	
1	37	1061242	3803910	C++	Csipcsirip	
1	36.75	3819989	4077808	C++	KawattaTaido	
1	36.46	3802525	3868222	C#	Chibikko	
1	36.42	3119894	3801933	C#	joleNeuNeu	
1	36.25	2924895	3976726	C	trictrac	
1	35.85	1952778	4234520	C++	blast_beat	
1	35.73	1194069	4322321	C#	Redstrike	
1	35.57	2923506	4026520	C++	darkhorse64	
1	35.52	1314316	3808889	C#	jolindien	
1	35.37	862919	3981830	C++	Astrobytes	
1	35.27	3443015	2614458	C	Wozniak	
1	35.03	3794725	4712570	Python3	Qoo	
1	34.9	4584723	4417048	C	babaaurhum	
1	34.72	3457031	4500804	C++	YurkovAS	
1	34.71	3999174	4484795	C#	Shrimpster	
1	34.46	2636370	3356154	C++	SupSon	
1	34.38	2288263	4271885	Rust	dbdr	
1	33.83	351062	2704021	C++	Neumann	
1	33.64	2500089	3684953	Java	Fantomat75	
1	33.6	832306	2629645	Python3	pb4	
1	33.56	1489865	2491655	C++	EricSMSO	
1	32	1876212	2492978	C++	PFischbeck	
1	31.59	1500515	2492296	C#	eulerscheZahl	
1	31.05	3533119	3022917	C++	wlesavo	
1	30.94	893541	4491402	Java	wala	
1	30.84	186179	4716107	C++	Nagrarok	
1	30.33	218189	2474890	C	[CG]Maxime	
1	30.17	1838549	3603008	Rust	orangesnowfox	
1	30.07	232528	2991454	C++	cegprakash	
1	29.24	3569066	4323974	C++	derjack	
1	29.01	155774	3801690	C++	dwarfie	
1	28.62	3564009	3220362	C++	Waffle3z	
1	28.39	1792429	2590176	C++	Wildum	
1	28.18	1140677	4307323	C++	Crog	
1	27.29	1344487	2679844	C++	UnnamedCodinGamer	
1	27.2	1785098	4286462	C++	E_pur_si_muove	
1	27.09	1201796	2830560	C++	P.Greze	
1	26.95	3513265	3752494	C++	DaNinja	
1	26.81	5052454	4448292	C++	chris.steele	
1	26.78	2007852	2496282	Lua	Zorg1	
1	26.78	271873	2485948	C	lionel_fr	
1	26.73	712143	2694553	C++	phamnuwen	
1	26.62	3298022	3730914	C++	IKEJIME	
1	26.46	3525167	4482813	C++	fgsdt	
1	26.37	3721214	3768405	C++	jrke	
1	26.37	1420817	4285022	Javascript	TheMagicShop	
1	26.26	3839774	3343766	Rust	gurvan_lullien	
1	26.15	3235897	3963689	Java	Zylo	
1	26.1	3726978	3888250	C++	VirtualAtom	
1	25.86	3368067	4508869	Java	jgall	
1	25.82	1802967	4451984	Python3	Meruem	
1	25.2	4694923	4299062	C#	AntonBlockchain	
1	24.99	4036060	3705141	C#	King_Coda	
1	24.27	2838943	3941439	C	zapakh	
1	24.26	1238934	2482241	C++	accorp	
1	24.06	3343665	2637387	C++	Quidome	
1	23.79	311035	4524283	C++	leojean890	
1	23	5142493	4502719	Java	jaksi	
1	22.66	5190521	4716056	Java	squar89	
1	22.27	201919	2641240	C++	LouJo	
1	21.73	1756952	2496041	Java	Petras	
1	21.34	3784861	3103249	Go	thiebt	
1	21.03	1807733	3364007	Python3	NoZ-	
1	20.99	1287344	3438496	C++	Alshock	
1	20.92	1438865	2689453	Java	tdeblock	
1	20.71	3317227	4023438	Python3	hoggi	
1	20.59	1861258	2476485	Go	Nazdhun	
1	20.48	973040	2481431	C	papyjo	
1	20.44	3770912	4554599	C#	fgwiebfaoish	
1	20.39	338469	2487535	C++	__mcts__	
1	20.31	935744	4291888	C	Alcalyn	
1	20.22	3922731	3626447	Dart	Dartisan	
1	20.18	1566335	2608657	Java	BeardedWhale	
1	20.16	4433288	3758054	Haskell	Juanmv94	
1	20.08	1436776	2493138	C++	BrainSolver	
1	19.94	1449433	4061773	C++	Rolf	
1	19.89	2115491	4072191	Go	Haashi	
1	19.86	3608247	2637924	Java	IntegratedQuantum	
