League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=387,time=2023-01-22 00:30:29
2	39.51	2311105	4018143	C++	kovi	
2	38.42	893541	4016146	Java	wala	
2	38.37	4270882	3993404	Python3	[ron]	
2	37.31	2786666	4297161	C++	TetraktysPhi	
2	36.39	4050016	3830524	Ruby	CharlesSenemaud	
2	36.14	4826217	4282947	C++	An.Petrovich	
2	34.63	2924895	3949001	Java	trictrac	
2	34.04	4499358	3813333	Python3	neumond	
2	33.71	1457162	4510541	C++	JFB	
2	33.64	2110342	4456415	Javascript	lchenay	
2	33.09	886483	3958260	C++	R4N4R4M4	
2	33.04	331880	3950764	Kotlin	Monstruo	
2	32.78	4645285	4679219	Python3	baler0nick	
2	32.7	3721214	4010312	Python3	jrke	
2	32.58	839879	4475061	C#	Washier	
2	32.56	648751	3830397	Haskell	dabino	
2	31.58	1393802	4256857	Python3	amzh	
2	30.58	4584723	3910418	Java	babaaurhum	
2	30.56	4484234	3810228	Python3	PolentaEater	
2	30.39	5174619	4522950	Python3	Datascientist07	
2	30.06	4182831	3810238	Python3	Flaaamort	
2	29.9	3657937	4306630	Python3	elderlybeginner	
2	29.66	4591097	3954050	Python3	Gandalfchris	
2	29.41	3235897	4038408	Java	Zylo	
2	29.12	1409837	3853353	Python3	Meepophobia	
2	28.92	4480687	3812476	Java	bennettj	
2	28.6	304126	3810916	PHP	kami	
2	28.58	1653268	4593642	Go	YikeyYikes	
2	28.55	2290633	3879264	Python3	field3	
2	28.39	5050790	4478003	Python3	BrendonJo	
2	28.06	2184856	3806623	Python3	MichalOp	
2	28.03	3839774	3834905	Scala	gurvan_lullien	
2	27.71	4495714	3821743	Rust	BenInTheBox	
2	27.69	4584836	4414011	Bash	Mephie	
2	27.67	4117624	3805834	Python3	Thibb1	
2	27.55	1579129	3813101	C#	GodferThomy	
2	27.46	4467092	3825756	Python3	theprogrammingguy	
2	27.41	3572815	3816503	Python3	Squadalz	
2	27.23	2069141	4283197	C#	tomeko	
2	27.15	4482142	3806577	Python3	Nocky02	
2	27.13	1480501	3896157	C++	DaFish	
2	27.13	1750644	4475776	C#	Tabasco	
2	27.11	4081634	3843402	Python3	Wontonimo	
2	27.06	4994157	4447584	Java	DPrahl	
2	27.05	4781104	4352134	Python3	personne1248	
2	26.95	1288527	3802263	C++	Snef	
2	26.93	932727	3873381	Python3	pakopa	
2	26.9	811622	3825273	C++	Scarfield	
2	26.66	4163606	3808500	Java	Juli1G	
2	26.48	1678032	3807062	Kotlin	Yakanet	
2	26.47	4470203	3843551	C++	Kaktuts	
2	26.32	311035	4282730	Python3	leojean890	
2	26.29	4672612	3959082	Python3	Magaloff	
2	26.29	4489355	4039953	C++	metainformatic	
2	26.22	1547956	4714750	Python3	BlaiseTano	
2	26.22	3664446	3809749	Python3	rakcy	
2	26.18	973040	3848427	F#	papyjo	
2	26.09	4396180	3959129	Python3	Manusse	
2	26.05	3264942	3833183	Rust	maskit	
2	25.84	1479930	3812593	C++	LeRenard	
2	25.74	1320638	3809679	Perl	glezmen	
2	25.71	4420966	4696405	Python3	Cantilien	
2	25.65	204179	3819935	Rust	resistcorp	
2	25.57	4439699	3806945	C++	zhekasy	
2	25.56	3843105	3808399	Python3	PythonSlayer	
2	25.54	2140455	3815079	C++	Lord_Binary	
2	25.36	1105817	3816495	Python3	MaximeF	
2	25.17	3274958	3816057	Javascript	heejae0704	
2	25.16	4367730	3819409	Javascript	Sane87	
2	25.1	2984707	4503434	Python3	Darkduv	
2	25.01	360857	3809042	Java	Tibler	
2	24.95	3223953	3853257	Java	StempfiFlo	
2	24.93	3645978	4493062	C++	DrRadek	
2	24.74	4472899	3810089	Python3	nullrand	
2	24.63	2288263	3853439	Rust	dbdr	
2	24.5	3305510	3806615	PHP	TBali	
2	24.38	4627200	4515731	Python3	Fwcode	
2	24.3	4493118	3807413	C++	TheRealInfinite	
2	24.28	2724226	3948500	Python3	Kramdar	
2	24.21	3691491	3843265	TypeScript	icecream17	
2	24.14	2532837	4394722	Ruby	fauresebast	
2	24.13	5062898	4498701	C#	AshwinDMSoftware	
2	24.12	4489122	4015956	Lua	c0r3dump	
2	24.09	335954	4557500	Java	nmahoude	
2	24.02	4992075	4518922	Python3	RogersMath	
2	24	3589590	3886289	Python3	Edjy	
2	23.94	155774	4000520	PHP	dwarfie	
2	23.89	3563934	3832895	C#	ChuckTheNinja	
2	23.8	4083405	3798705	C++	jzen	
2	23.79	4124688	3816445	C++	Murat_Eroglu	
2	23.76	1753077	4012760	Python3	codingWhale	
2	23.61	4349642	3807614	Java	AC6	
2	23.59	3696867	4697054	C++	chouxchoux	
2	23.58	1495510	3812859	Javascript	Mede[ric]	
2	23.45	1199999	3807319	Python3	Marcs	
2	23.41	3774500	3807471	Javascript	zakariamouhid	
2	23.4	3470270	4446808	Python3	Tabaxi3K	
2	23.38	4289256	3809351	TypeScript	Rick_C-137	
2	23.24	3326403	3814062	Python3	DieBaheit	
2	23.21	4248894	3806574	C++	hedines	
2	23.13	4184379	3892034	Python3	romain.wg	
2	23.03	3846244	3922527	Python3	JLukeSkywalker	
2	23.01	3207606	3799759	Python3	TobiasA	
2	23.01	4607898	4665047	Python3	gun_kodlnw	
2	22.97	1466631	3811721	Python3	Akrib	
2	22.94	4334077	3993080	Python3	Paul_Demanze	
2	22.78	3654176	3813443	Python3	hardkod	
2	22.74	5240083	4712709	Python3	Camil_	
2	22.67	814685	3856780	Javascript	AthosPyte	
2	22.66	4988410	4477987	C++	Palau	
2	22.63	1073247	3809763	C++	_NikJ	
2	22.62	1981732	3857331	F#	MJS	
2	22.6	5052454	4446820	C++	chris.steele	
2	22.58	3771662	4305238	Python3	meltice	
2	22.57	862919	3806869	C++	Astrobytes	
2	22.56	3983017	3805275	PHP	TLbuis	
2	22.5	4248866	3806327	C++	ThomasLEMERCIER	
2	22.49	901326	3808388	Python3	CodeMaster77	
2	22.49	4470306	4002808	Python3	NONstope	
2	22.48	4336240	3806585	C	RobHardy	
2	22.43	1412263	3805374	PHP	PatrickMcGinnisII	
2	22.37	1863849	3930225	C#	Peglo	
2	22.36	4277867	3911371	C	About	
2	22.34	2992583	3805667	Lua	ArcherLW	
2	22.31	4451820	3811831	C++	Teiglin	
2	22.3	2977626	3835035	Python3	Sandell0	
2	22.29	4203684	3817588	C#	S03R3N	
2	22.25	3335921	3810260	Kotlin	vcoubray	
2	22.14	1314316	3808536	C++	jolindien	
2	21.93	1455753	4038923	Python3	Lysk	
2	21.83	5266680	4695365	C#	DrLobo	
2	21.83	4493013	3806391	C++	Tybo3	
2	21.8	5149711	4636188	Python3	burdanas	
2	21.65	3325751	3834706	Scala	Weran	
2	21.65	2923506	3807287	Python3	darkhorse64	
2	21.65	1293328	3815976	Python3	TornadoQc	
2	21.41	1838289	4524462	C++	Dagal	
2	21.28	3727077	3798222	Python3	Manwi23	
2	21.26	1880319	3916441	C++	WildSmilodon	
2	20.78	2663983	3906591	C#	TheStrategist97	
2	20.74	1140677	3841434	C++	Crog	
2	20.63	4471724	3805671	Python3	Miyukiko	
2	20.56	4253866	3810992	C++	solebull	
2	20.39	3443015	3813839	C++	Wozniak	
2	20.24	4340512	4451429	Javascript	CutmanCometh	
2	20.12	1315351	3811634	Python3	Ynovem	
2	20.06	3203374	3823205	TypeScript	qperie	
2	20.04	4116825	3818525	C#	JoeyVera	
2	19.98	3647844	3972405	Python3	rc95401	
2	19.97	3256875	4062798	C#	MaxNar	
2	19.95	2534102	3959821	Python3	DataW	
2	19.44	4624970	3913772	C++	cazeoj	
2	19.26	4826689	4178978	C++	flookkrup	
2	19.25	4713241	4518427	Python3	Noremac11400	
2	19.2	4490308	3811128	Python3	LeoGiner	
2	19.15	569247	3808447	Python3	LaurentBouvier	
2	19.14	1685538	3807309	TypeScript	NoctalIvan	
2	19.12	4025242	4436852	Javascript	Creetch	
2	18.35	1817034	4423377	Kotlin	[MAR][2021]alexandre.nascimento	
2	18.29	4645179	4396105	C#	Benchmark04	
