League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=6320,time=2023-01-25 00:30:18
4	32.35	3193653	3694300	C++	karliso	
4	31.23	1607522	3692300	C++	RoboStac	
4	31.16	1400179	3683140	C++	reCurse	
4	30.86	3136787	3764441	C++	jacek	
4	30.48	4206854	4703335	Python3	TomAlard	
4	30.27	869239	3474244	C++	Vingte	
4	29.63	3457031	4444722	C++	YurkovAS	
4	29.57	2522090	4393664	C++	MSmits	
4	29.28	3348388	4376737	C++	bowwowforeach	
4	29.08	1607034	3261405	Rust	tomatoes	
4	28.58	2311105	4713598	C++	kovi	
4	28.41	1549145	3803171	C++	Mealc	
4	28.18	735487	3117996	C++	amurushkin	
4	27.88	2636370	3369669	C++	SupSon	
4	27.04	4452961	4711399	C	Sheeesh---	
4	26.88	186179	1996640	C++	Nagrarok	
4	26.3	1540478	4388761	C++	struct	
4	26.28	155924	4453045	C++	yvesmocq	
4	26.2	4931243	4339091	C#	drawde	
4	26.17	1802419	1964619	C++	shummie	
4	26.16	2638020	3998773	C++	ja_fica	
4	26.13	1860953	3158620	C++	Miarem	
4	26.12	4399833	3784068	C++	Peterpanda	
4	26.11	1629259	3081149	C#	Marchete	
4	25.9	2924895	2629601	C	trictrac	
4	25.9	2086052	3875392	C#	Lks10	
4	25.84	2923506	3371068	C++	darkhorse64	
4	25.77	3424888	3016459	C++	Hamibar	
4	25.77	893541	4545506	Java	wala	
4	25.61	1944726	4064876	C++	bourgeof	
4	25.58	1767183	3936462	C#	MelnikovIgor	
4	25.53	3243532	2608552	C++	teccles	
4	25.47	4081634	4040691	C++	Wontonimo	
4	25.45	1728326	3750419	C++	yduf	
4	25.38	3918583	4416856	Rust	mikmak	
4	25.37	1477622	4559966	C++	zrdon	
4	25.31	3758761	3443709	C++	Angecide	
4	25.24	588426	1815129	C++	Jeff06	
4	25.22	1480501	2356500	C++	DaFish	
4	25.16	3999174	4435651	C++	Shrimpster	
4	25.02	154312	4645601	C++	ThomasNicoullaud	
4	24.96	351062	2607946	C++	Neumann	
4	24.81	2968035	4705730	C++	DomiKo	
4	24.63	3523247	4003390	C++	alexcercos	
4	24.44	4154326	4402245	Go	montplusa	
4	24.37	2007852	2642821	Go	Zorg1	
4	24.34	154984	3135355	C++	_Royale	
4	24.05	4116990	3366051	C++	MyMonkey	
4	23.93	1567943	3767500	C++	LazyMammal	
4	23.84	3738782	3039119	C++	Inaniwa	
4	23.67	3726978	3326825	C++	VirtualAtom	
4	23.55	735910	1765816	C++	Agade	
4	23.55	2725066	3027950	C#	Cize	
4	23.46	4208158	3680643	C++	Tiouz	
4	23.45	1479930	2600311	C++	LeRenard	
4	23.39	1500515	3792265	C++	eulerscheZahl	
4	23.28	1734105	2246839	C++	Bibou	
4	23.22	1314316	2205692	C++	jolindien	
4	23.12	3795745	3884740	Javascript	Soboku	
4	23.03	2874091	4394181	C++	5DN1L	
4	22.97	3844625	4009507	C++	surgutti	
4	22.96	4067707	4264680	C++	therealbeef	
4	22.92	3533119	4292800	C++	wlesavo	
4	22.83	3819467	3037647	C++	bin101	
4	22.82	3230794	4475256	C	tutubalin	
4	22.64	1336464	3500721	C++	magaiti	
4	22.53	1307473	2502838	C++	Evgenykz	
4	22.51	1288527	3018810	C++	Snef	
4	22.48	2718975	3442543	C	mykeich	
4	22.44	154388	4560297	Rust	PonyPonyCodeCode	
4	22.39	2350415	3996493	C++	Vintarel	
4	22.38	3756199	2995251	C++	KnightMoves	
4	22.3	2731276	2050686	C++	panda42	
4	22.29	3819989	4385549	C++	KawattaTaido	
4	22.2	3274956	2600347	C++	LeProfesseur	
4	22.2	4802230	4078856	C++	Nanaeda	
4	22.17	218189	2492540	C	[CG]Maxime	
4	22.16	512097	2606753	C++	Stilgart	
4	22.14	3213465	2305018	C++	Gegene	
4	22.09	3049838	3924288	C++	pmor	
4	22.07	1206537	2595084	C++	MadKnight	
4	22.01	832306	2201315	C++	pb4	
4	21.97	3794725	3009647	C++	Qoo	
4	21.94	2976356	4387995	C++	magmasa	
4	21.89	4257906	4718709	Rust	NotSureWhyThisWorks	
4	21.88	3076371	2633253	C++	Krakota	
4	21.86	3165536	4558676	C++	barbora	
4	21.85	3366188	3782748	Rust	SteveWhite	
4	21.8	4421805	4414177	C++	Rubixbob	
4	21.78	2969097	3873384	C++	kempusss	
4	21.76	1783604	1779456	C	Vry	
4	21.74	3231345	3031057	C++	tokur	
4	21.72	2288263	2591448	Java	dbdr	
4	21.7	3333079	3973425	C++	azerty01	
4	21.63	805067	3213296	C++	Magus	
4	21.6	2906497	2239509	C++	daaskare	
4	21.57	2585583	3835303	Rust	Hans-Peter-Ingo	
4	21.51	820000	3173737	C++	ValGrowth	
4	21.51	3956037	4416312	C++	GNAM	
4	21.5	1601217	4395633	C++	Heide	
4	21.5	886483	4485459	ObjectiveC	R4N4R4M4	
4	21.49	1203167	2342643	C++	r3versi	
4	21.48	926124	2091007	C++	Beerus	
4	21.46	1684486	2837691	C++	Whopper	
4	21.45	1399382	1877044	C++	Regulus136	
4	21.45	517890	3488570	C++	Altaire	
4	21.42	489655	3902684	C	Yamard	
4	21.42	3381294	3991650	D	dkorpel	
