League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=241,time=2023-01-15 01:36:35
0	47.68	3903473	3454991	Python3	Konstant	
0	43.12	3902927	4076318	Python3	Bulgot	
0	41.61	2311105	4077001	C++	kovi	
0	39.32	705640	3222978	C#	KAAndreyR	
0	37.82	2625928	4064354	C#	Leonard.	
0	36.87	4015296	3135017	Python3	Excidium	
0	36.02	886483	3975960	C	R4N4R4M4	
0	35.91	1186250	2998883	Python3	Gabbek	
0	35.62	4199011	3481394	Python3	_MarTiaN_	
0	34.4	416762	2700375	TypeScript	Khao	
0	33.76	2254195	4508794	Java	BrunoFelthes	
0	32.94	3699503	3440344	C#	Endata	
0	32.93	4992075	4703024	Python3	RogersMath	
0	32.79	2288263	4256877	Rust	dbdr	
0	31.72	2924895	3978971	C	trictrac	
0	30.68	1766761	3132960	Python3	Wahoc	
0	30.56	4591097	3979820	Python3	Gandalfchris	
0	30.13	3647844	3920594	Python3	rc95401	
0	30.13	1712393	3010532	C++	JackJohnson	
0	30.05	4768565	4024398	Java	EripMav	
0	30.05	1539948	3166716	Python3	Fotoblysk	
0	30.05	3235897	4310327	Java	Zylo	
0	30.05	2290633	2648016	Python3	field3	
0	30.04	4373790	3708322	Javascript	Eltrion	
0	29.97	1622340	2683306	C#	VernerVinge	
0	29.96	4614440	3901638	C#	Forze-smb	
0	29.91	3939248	3347550	Java	ggcow	
0	29.83	4436095	4055840	Python3	RsCrazy	
0	29.79	973040	2640573	C	papyjo	
0	29.59	2202771	4078919	Java	Kaplone	
0	29.56	1145321	3444381	Python3	tomfa	
0	29.46	862336	2687416	C++	Zaphus	
0	29.45	1393802	4269427	Python3	amzh	
0	29.43	1575526	3841627	Python3	10Casac	
0	29.32	389786	3384019	Java	menu	
0	29.26	2070953	3920437	Java	programdestroyer	
0	29.13	4447108	3784014	C#	MonkeyFeathers	
0	28.75	3695887	2689307	Python3	timothy-wi	
0	28.53	4594770	4257385	Python3	picoplankton	
0	28.4	4381382	3848428	Python3	Uriaz	
0	28.07	3913241	3791953	Python3	KevinLi-py	
