League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=71,time=2023-02-07 00:30:04
0	41.08	1489865	2691812	C++	EricSMSO	
0	39.89	2522090	4398627	C++	MSmits	
0	36.25	2924895	4395898	C	trictrac	
0	33.61	1480501	3961435	C++	DaFish	
0	30.5	1096274	2849368	C#	DrBrask	
0	28.66	304126	2848042	PHP	kami	
0	28.6	2290633	2701060	Python3	field3	
0	28.42	973040	3840405	F#	papyjo	
0	28.11	3513265	2850534	C++	DaNinja	
0	27.9	3450300	2851820	Javascript	thibpat	
0	27.34	311035	4401935	Python3	leojean890	
0	27.28	1479930	2879799	C++	LeRenard	
0	27.13	3652176	2837966	Kotlin	Allali	
0	27.03	1072200	3944188	C++	alze	
0	26.79	3522147	2839997	Javascript	Gotham	
0	26.44	3686503	2874634	Go	Harpiste	
0	26.3	3691491	2842323	Javascript	icecream17	
0	26.17	3533314	2830368	C#	skotz	
0	25.72	1029602	2674309	C	Potemkine	
0	25.5	2288263	2846393	Rust	dbdr	
0	25.46	2414982	2852371	C++	pavveu	
0	25.34	3922731	3626490	Dart	Dartisan	
0	24.44	1418821	2836536	C++	input.txt	
0	23.93	1412263	2657139	PHP	PatrickMcGinnisII	
0	23.1	3727174	4730136	C++	Crazy_Remi	
0	23.04	1466631	3012557	Python3	Akrib	
0	22.63	3767065	2837249	Python3	lxnn	
0	22.52	1144135	2830514	Go	Kh4z	
0	22.37	3583983	2851877	Python3	theroot99	
0	22.08	2740243	2832251	Python3	Rprades	
0	21.55	1105817	2829411	Python3	MaximeF	
0	21.46	3727077	2834170	Python3	Manwi23	
0	21.2	1861258	2845486	Go	Nazdhun	
0	21.15	154806	2846038	Python3	piwai	
0	21.03	4277867	4429470	D	About	
0	20.75	1272263	2851744	Python3	Caled	
0	20.72	4429609	3752335	C++	artoppod	
0	20.69	2769287	2840090	Java	arckeos	
0	20.67	371603	2678783	Ruby	martin	
0	19.03	3136787	2960010	Java	jacek	
0	16.35	1852668	3724226	Python3	gao	
0	16.16	2069141	2672900	C#	tomeko	
0	15.77	1740037	2677922	Scala	ereiam	
0	14.34	1427078	2665841	Dart	ToshiTuringMachine	
0	14.31	3721214	3067887	Python3	jrke	
0	14.3	3647844	3970191	Python3	rc95401	
0	14.23	231975	3080163	C#	Remoh69	
0	13.54	3747855	2829517	C	Hikar	
0	13.3	3344383	4404125	C++	Czejoo	
0	12.33	4183089	3985098	Python3	PringleOrange	
0	11.74	224325	2837433	Rust	[BZH]TidyMaze	
0	11.62	3716008	4653052	Python3	lavagod	
0	11.42	1713174	2656274	Python3	BigUP	
0	10.77	3808031	3025759	Rust	_proton	
0	10.67	3015376	2835291	Python3	gaha	
0	10.25	523846	2808965	C#	Palmipedus	
0	9.63	2779063	4397211	Python3	LegendsOfCodeAndMagic	
0	9.47	1883670	4398216	Javascript	radekmie	
0	9.42	3790958	2841077	Python3	TortugaAzezina	
0	9.41	1875472	2831758	C#	BillBert	
0	9.09	4282042	4397265	Java	aCatAI	
0	8.66	484004	4397149	Rust	aCat	
0	8.49	2976356	4405709	C++	magmasa	
0	8.42	2824008	4707936	C#	OccitanieFreelancer	
0	7.74	1830993	2657159	C#	jpcheck	
0	7.54	4626700	3955809	PHP	JohnyDarecek	
0	7.52	1854639	2995985	C#	iDxMeG	
0	7.37	3464590	3012283	C	abbecool	
0	7.19	2325449	3314622	Perl	otpv	
0	6.5	1341520	3414717	Java	egaetan	
0	6.32	3354337	3450269	C++	Westicles	
