League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=159,time=2023-01-18 00:34:53
0	42.81	2522090	4485540	C++	MSmits	
0	37.34	154984	4458307	C++	_Royale	
0	35.43	1607522	3820563	C++	RoboStac	
0	33.43	3136787	3477620	C++	jacek	
0	32.54	2924895	3896243	C	trictrac	
0	31.83	2923506	2477354	C++	darkhorse64	
0	30.96	1480501	2628829	C++	DaFish	
0	30.88	1479930	2466216	C++	LeRenard	
0	30.29	2636370	3377870	C++	SupSon	
0	30.25	832306	2435152	Python3	pb4	
0	30.17	1905177	2496763	C#	agysejt	
0	29.89	424510	2335911	Kotlin	csj	
0	28.3	1489865	2317409	C++	EricSMSO	
0	28.23	4206854	3951044	C	TomAlard	
0	27.66	1314316	3825409	C#	jolindien	
0	27.47	3457031	3153854	C++	YurkovAS	
0	26.92	2288263	2613213	Rust	dbdr	
0	26.45	3918583	4271160	Rust	mikmak	
0	26.41	1203167	2345570	Python3	r3versi	
0	25.94	2944122	2673728	C++	JackieChun	
0	25.91	3513265	3764775	C++	DaNinja	
0	25.87	2728732	2313957	Python3	Kroppeb	
0	25.86	1344487	2676483	Java	UnnamedCodinGamer	
0	25.85	2906497	2323889	C++	daaskare	
0	25.83	1029602	2629608	C	Potemkine	
0	25.79	3376849	3327525	Python3	Horrip	
0	25.76	2058158	3421567	C++	RolandKnight	
0	25.76	1673512	2327328	C++	Ryoken	
0	25.76	1498442	2309295	Javascript	NSzx	
0	25.76	1584802	2335804	C++	emh	
0	25.76	3417724	3338101	C#	Illya	
0	25.76	3080189	2308569	Python3	Multiplicity	
0	25.75	2290633	3902440	Python3	field3	
0	25.72	3502867	2576139	C++	The_Duck	
0	25.72	886483	2332778	ObjectiveC	R4N4R4M4	
0	25.7	1436776	3658183	C++	BrainSolver	
0	25.66	1523279	2835579	C++	morttar	
0	25.6	311035	3824533	Python3	leojean890	
0	25.45	973040	3823592	C	papyjo	
0	25.43	3569066	3477141	C++	derjack	
0	25.4	3329534	2406499	C#	misi-me2play	
0	24.77	3730459	2727690	C++	djcian	
0	24.69	735910	2434059	C++	Agade	
0	24.59	1140677	4522447	C++	Crog	
0	24.58	2438065	2606177	Python3	iter	
0	24.23	631323	4703261	Python3	herve056	
0	24.2	1457162	2335250	C++	JFB	
0	24.18	3397746	2461833	Python3	MinFlex	
0	24.09	1378958	2429985	C#	Illedan	
0	23.99	1854246	2437452	C++	Counterbalance	
0	23.85	1412263	2314441	PHP	PatrickMcGinnisII	
0	23.58	155774	3694778	C++	dwarfie	
0	23.45	314562	2328648	Javascript	Mechar	
0	23.19	4334237	3966583	Javascript	BJD	
0	22.96	1629259	2983602	C++	Marchete	
0	22.8	3647844	3968021	Python3	rc95401	
0	22.58	3983017	3530760	PHP	TLbuis	
0	22.54	4039884	3360409	C++	mzbear	
0	21.65	3018178	3101540	Rust	Fallback	
0	21.21	3563934	4431520	C#	ChuckTheNinja	
0	21.18	2655682	2606331	Java	CoderFromOuterSpace	
0	20.97	1524231	3482345	Python3	powazny	
0	20.84	2625876	3159057	C++	[IVL]	
0	20.8	3762699	3745282	Python3	Nolliwood	
0	20.68	429850	3472786	Python3	Powazny	
0	20.62	1658934	2588634	Python3	BeesKnees	
0	20.6	4060579	3378289	Python3	sparql	
0	19.71	1194069	2423558	Java	Redstrike	
0	19.65	1802967	4710331	Python3	Meruem	
0	19.59	399946	3110541	Python3	Firefly	
0	19.33	3203557	4039666	C++	burnpanck	
0	18.99	3909137	3513894	C++	delta_computer	
0	18.28	3141948	4494460	Python3	philRG	
0	18.21	792813	2314517	Python3	VilBoub	
0	18.1	3564009	2673536	Lua	Waffle3z	
0	17.47	3589558	2835605	C++	luhuluhu	
0	17.42	1740037	2679443	Scala	ereiam	
0	17.13	3428055	2461442	Python3	wuhudieeule	
0	16.95	2416641	2604702	Java	Zenoscave	
0	16.92	385699	3454390	Go	Nikai	
0	16.72	3214641	2807052	Java	Neicul	
0	16.68	2042572	2688906	Python3	i_am_noob_abc	
0	16.63	1288527	2313714	C++	Snef	
0	16.6	3922731	3626538	Dart	Dartisan	
0	16.48	2142687	2852459	Python3	OmarLaraqui	
0	16.46	1464932	2310712	Java	Tiramon	
0	16.46	1728288	3538221	C#	MOLP	
0	16.42	1492221	2577759	Javascript	Spalmon	
0	16.3	2972662	2378864	C++	Hoyer	
0	16.3	1382430	2447464	C	Takenoko	
0	16.15	1713174	2314244	Python3	BigUP	
0	15.98	1411952	2497274	PHP	gragatrim	
0	15.92	4460158	3809581	C++	loadedx16	
0	15.87	2069141	2307830	C#	tomeko	
0	15.86	3039456	3429736	Java	SabertheLost	
0	15.85	3657937	4058507	Python3	elderlybeginner	
0	15.83	4769150	4077492	Javascript	This_guy_Coder	
0	15.71	4210431	3444941	C++	Geurkaars01	
0	15.51	2202771	2310236	Java	Kaplone	
0	15.35	1661563	2706303	C#	ThePopSpider	
0	15.18	3910146	3047901	Python3	MiranDaniel	
0	15	820000	2308385	C++	ValGrowth	
0	14.95	2663673	2513241	Python3	Amnonian	
0	14.84	1073247	3823379	C++	_NikJ	
0	14.8	1861258	2317608	Go	Nazdhun	
0	14.61	3128351	3015470	Python3	Mattia_BLL	
0	14.55	3027918	3672390	Rust	Plastic	
0	12.46	4549748	3970876	Java	MathiasF	
0	11.12	2572485	2437059	Ruby	DGynn	
0	11.1	5233487	4580354	Javascript	Adolphus	
0	11.07	354788	3677379	C++	Lexer31	
0	10.73	4277867	4403625	D	About	
0	10.56	664112	2676331	Python3	AllYourTrees	
0	10.52	1418821	2416958	C++	input.txt	
0	10.48	1495113	2410244	C#	Wiso86	
0	10.35	371603	2314091	Ruby	martin	
0	10.32	862919	2706637	C++	Astrobytes	
0	10.19	1876212	2498129	Python3	PFischbeck	
0	10.15	215395	2442092	Python3	Enknable	
0	10.14	4122400	3832279	Python3	yukulele	
0	10.09	1829569	2464722	Python3	[0___0]	
0	10.08	4596819	3970655	Python3	rspx	
0	9.84	3523240	2549618	Python3	Inflein	
0	9.14	1760921	2308643	Go	[Leonardone]-[-_-]-[NEETSDKASU]	
0	8.16	3721214	3361359	C++	jrke	
0	7.84	4210433	3451499	C++	Stijndcl	
0	7.48	389632	2410121	Python	ma	
0	5.89	4183089	3982165	Python3	PringleOrange	
0	2.91	1854639	2995979	C#	iDxMeG	
0	2.83	2410235	2312713	Python3	Joe_Black	
0	2.81	3354337	3450277	C++	Westicles	
0	2.8	1234947	3660805	Java	kuro	
0	2.76	3344383	4404124	C++	Czejoo	
0	2.72	4626700	3955780	PHP	JohnyDarecek	
0	2.64	2824008	4707945	C#	OccitanieFreelancer	
0	2.62	493800	2668558	C++	OnionMasta	
0	2.58	523846	2828232	C#	Palmipedus	
0	2.56	3464590	3012290	C	abbecool	
0	2.54	1540478	3011582	C++	struct	
0	2.51	2976356	4405707	C++	magmasa	
0	2.48	2997376	2687150	C++	TWW	
0	2.45	3582182	3010928	Python3	BJTrumpet	
0	2.43	1883670	4398214	Javascript	radekmie	
